 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be+we

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P1W2
      OFFSETS:	4-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/every

 INPUT STRING:	مانتكلم
     IS_TRANS:	mAntklm
        INDEX:	P1W3
      OFFSETS:	7-14
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itkal~im_1]
   UNSPLITVOC:	(mAnitokal~im)
          POS:	SUB_CONJ+IV1P+IV
          VOC:	mA+ni+tokal~im
        GLOSS:	that+we+speak/talk

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W4
      OFFSETS:	15-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الانفاق
     IS_TRANS:	AlAnfAq
        INDEX:	P1W5
      OFFSETS:	18-25
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(Al<inofAq)
          POS:	DET+NOUN
          VOC:	Al+<inofAq
        GLOSS:	the+subway/tunnels

 INPUT STRING:	تقولوا
     IS_TRANS:	tqwlwA
        INDEX:	P1W6
      OFFSETS:	26-32
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwluwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+quwl+uwA
        GLOSS:	you+said/say/be said/say/(for example)+we

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P1W7
      OFFSETS:	33-37
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P1W8
      OFFSETS:	38-43
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	الاغاثه
     IS_TRANS:	AlAgAvh
        INDEX:	P1W9
      OFFSETS:	44-51
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AigAvap_1]
   UNSPLITVOC:	(AlAigAvap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AigAv+ap
        GLOSS:	the+aid/relief assistance+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W2
      OFFSETS:	2-5
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طول
     IS_TRANS:	Twl
