 INPUT STRING:	موقع
     IS_TRANS:	mwqE
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawoqiE_1]
   UNSPLITVOC:	(mawoqiE)
          POS:	NOUN
          VOC:	mawoqiE
        GLOSS:	position/location/site

 INPUT STRING:	صدى
     IS_TRANS:	SdY
        INDEX:	P1W2
      OFFSETS:	5-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saday_1]
   UNSPLITVOC:	(SadaY)
          POS:	NOUN
          VOC:	SadaY
        GLOSS:	echo

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	عقد
     IS_TRANS:	Eqd
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqad_1]
   UNSPLITVOC:	(Eaqad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eaqad+(null)
        GLOSS:	hold/convene/conclude+he/it [verb]

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	TAWFIQ

 INPUT STRING:	عكاشه
     IS_TRANS:	EkA$h
        INDEX:	P2W3
      OFFSETS:	10-15
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ah_1]
   UNSPLITVOC:	(EukA$ah)
          POS:	NOUN_PROP
          VOC:	EukA$ah
        GLOSS:	AUKASHA

 INPUT STRING:	صاحب
     IS_TRANS:	SAHb
        INDEX:	P2W4
      OFFSETS:	16-20
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SAHib)
          POS:	NOUN
          VOC:	SAHib
        GLOSS:	owner/originator/owners/originators

 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P2W5
      OFFSETS:	21-25
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAt)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qanA+ap
        GLOSS:	canal/channel+[fem.sg.]

 INPUT STRING:	الفراعين
     IS_TRANS:	AlfrAEyn
        INDEX:	P2W6
      OFFSETS:	26-34
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
