 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P1W1
      OFFSETS:	1-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	محيرني
     IS_TRANS:	mHyrny
        INDEX:	P1W2
      OFFSETS:	6-12
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHay~ar_1]
   UNSPLITVOC:	(miHay~arniy)
          POS:	ADJ+PRON_1S
          VOC:	miHay~ar+niy
        GLOSS:	worrying+I

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W3
      OFFSETS:	13-15
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P1W4
      OFFSETS:	16-21
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN
          VOC:	Al+fiys
        GLOSS:	the+face

 INPUT STRING:	بوك
     IS_TRANS:	bwk
        INDEX:	P1W5
      OFFSETS:	22-25
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bwk)
          POS:	FOREIGN
          VOC:	bwk
        GLOSS:	nogloss

 INPUT STRING:	بسم
     IS_TRANS:	bsm
        INDEX:	P2W1
      OFFSETS:	1-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sim~_1]
   UNSPLITVOC:	(bisim~)
          POS:	PREP+NOUN
          VOC:	bi+sim~
        GLOSS:	with/by+name

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P2W3
      OFFSETS:	10-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raHom`n_2]
   UNSPLITVOC:	(AlraHom`n)
          POS:	DET+ADJ
          VOC:	Al+raHom`n
        GLOSS:	the+merciful

 INPUT STRING:	الرحيم
     IS_TRANS:	AlrHym
        INDEX:	P2W4
      OFFSETS:	17-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHiym_1]
   UNSPLITVOC:	(Alr~aHiym)
          POS:	DET+ADJ
          VOC:	Al+raHiym
        GLOSS:	the+compassionate

 INPUT STRING:	السلام
     IS_TRANS:	AlslAm
        INDEX:	P3W1
      OFFSETS:	1-7
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(Als~alAm)
          POS:	DET+NOUN
          VOC:	Al+salAm
        GLOSS:	the+greeting/salute/salutation

 INPUT STRING:	عليمن
     IS_TRANS:	Elymn
        INDEX:	P3W2
      OFFSETS:	8-13
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yumon_1]
   UNSPLITVOC:	(Ealayumon)
          POS:	PREP+NOUN
          VOC:	EalaY+yumon
        GLOSS:	on/above+good fortune/success

 INPUT STRING:	اعضاء
     IS_TRANS:	AEDA'
        INDEX:	P3W3
      OFFSETS:	14-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(>aEoDA')
          POS:	NOUN
          VOC:	>aEoDA'
        GLOSS:	members

 INPUT STRING:	المنتدى
     IS_TRANS:	AlmntdY
        INDEX:	P3W4
      OFFSETS:	20-27
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[munotadaY_1]
