 INPUT STRING:	نقلاً
     IS_TRANS:	nqlAF
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naql_1]
   UNSPLITVOC:	(naqlAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	naql+AF
        GLOSS:	transportation/transfer+[acc.indef.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W2
      OFFSETS:	6-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P1W3
      OFFSETS:	9-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party

 INPUT STRING:	الحرية
     IS_TRANS:	AlHryp
        INDEX:	P1W4
      OFFSETS:	13-19
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlHur~iy~ap_1]
   UNSPLITVOC:	(AlHur~iy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+Hur~iy~+ap
        GLOSS:	the+HURRIYA+[fem.sg.]

 INPUT STRING:	والعدالة
     IS_TRANS:	wAlEdAlp
        INDEX:	P1W5
      OFFSETS:	20-28
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EadAlap_1]
   UNSPLITVOC:	(wiAlEadAlap)
          POS:	CONJ+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+Al+EadAl+ap
        GLOSS:	and+the+AL ADALAA+[fem.sg.]

 INPUT STRING:	عاجل
     IS_TRANS:	EAjl
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjil_1]
   UNSPLITVOC:	(EAjil)
          POS:	ADJ
          VOC:	EAjil
        GLOSS:	urgent/speedy/at once/immediately

 INPUT STRING:	|
     IS_TRANS:	|
        INDEX:	P2W2
      OFFSETS:	5-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(|)
          POS:	PUNC
          VOC:	|
        GLOSS:	nogloss

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P2W3
      OFFSETS:	7-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Portsaid

 INPUT STRING:	|
     IS_TRANS:	|
        INDEX:	P2W4
      OFFSETS:	15-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(|)
          POS:	PUNC
          VOC:	|
        GLOSS:	nogloss

 INPUT STRING:	خاص
     IS_TRANS:	xAS
        INDEX:	P2W5
      OFFSETS:	17-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~_1]
   UNSPLITVOC:	(xAS~)
          POS:	ADJ
          VOC:	xAS~
        GLOSS:	private/exclusive

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P2W6
      OFFSETS:	20-21
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	البلطجى
     IS_TRANS:	AlblTjY
        INDEX:	P2W7
      OFFSETS:	22-29
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(AlbaloTajiy)
          POS:	DET+NOUN
          VOC:	Al+baloTajiy
        GLOSS:	the+gangster/ruffian

 INPUT STRING:	المتحفظ
     IS_TRANS:	AlmtHfZ
        INDEX:	P2W8
      OFFSETS:	30-37
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoHifiZ_1]
   UNSPLITVOC:	(AlmitoHifiZ)
          POS:	DET+ADJ.VN
          VOC:	Al+mitoHifiZ
        GLOSS:	the+cautious/reserved

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P2W9
      OFFSETS:	38-42
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P2W10
      OFFSETS:	44-49
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	السيد
     IS_TRANS:	Alsyd
        INDEX:	P2W11
      OFFSETS:	50-55
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(Als~ay~id)
          POS:	DET+NOUN_PROP
          VOC:	Al+say~id
        GLOSS:	the+Said

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P2W12
      OFFSETS:	56-57
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W13
      OFFSETS:	58-60
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سكان
     IS_TRANS:	skAn
        INDEX:	P2W14
      OFFSETS:	61-65
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(suk~An)
          POS:	NOUN
          VOC:	suk~An
        GLOSS:	residents/inhabitants

 INPUT STRING:	السيده
     IS_TRANS:	Alsydh
        INDEX:	P2W15
      OFFSETS:	66-72
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(Als~ay~idap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+say~id+ap
        GLOSS:	the+Saidah+[fem.sg.]

 INPUT STRING:	خديجة
     IS_TRANS:	xdyjp
        INDEX:	P2W16
      OFFSETS:	73-78
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xadiyjap_1]
   UNSPLITVOC:	(xadiyjap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	xadiyj+ap
        GLOSS:	Khadiga+[fem.sg.]

 INPUT STRING:	يعترف
     IS_TRANS:	yEtrf
        INDEX:	P2W17
      OFFSETS:	81-86
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaraf_1]
   UNSPLITVOC:	(yiEotirif)
          POS:	IV3MS+IV
          VOC:	yi+Eotirif
        GLOSS:	he/it+acknowledge/recognize/admit/confess

 INPUT STRING:	بتحريض
     IS_TRANS:	btHryD
        INDEX:	P2W18
      OFFSETS:	87-93
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyD_1]
   UNSPLITVOC:	(bitaHoriyD)
          POS:	PREP+NOUN
          VOC:	bi+taHoriyD
        GLOSS:	with/by+incitement/provocation/induction

 INPUT STRING:	الحسينى
     IS_TRANS:	AlHsynY
        INDEX:	P2W19
      OFFSETS:	95-102
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Husiyniy_1]
   UNSPLITVOC:	(AlHusiyniy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Husiyniy
        GLOSS:	the+Hussieny

 INPUT STRING:	أبو
     IS_TRANS:	>bw
        INDEX:	P2W20
      OFFSETS:	103-106
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	قمر
     IS_TRANS:	qmr
        INDEX:	P2W21
      OFFSETS:	107-110
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qamar_1]
   UNSPLITVOC:	(qamar)
