 INPUT STRING:	اتفرجوا
     IS_TRANS:	AtfrjwA
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(Aitofar~ajuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Aitofar~aj+uwA
        GLOSS:	watch+you

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P1W2
      OFFSETS:	8-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	يااللى
     IS_TRANS:	yAAllY
        INDEX:	P1W3
      OFFSETS:	12-18
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAAllY)
          POS:	NO_FUNC
          VOC:	yAAllY
        GLOSS:	nogloss

 INPUT STRING:	بتقولو
     IS_TRANS:	btqwlw
        INDEX:	P1W4
      OFFSETS:	19-25
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwluwA)
          POS:	PROG_PART+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	bi+ti+quwl+uwA
        GLOSS:	[present-tense]+you+said/say/be said/say/(for example)+[pl.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W5
      OFFSETS:	26-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	اتغيرت
     IS_TRANS:	Atgyrt
        INDEX:	P1W6
      OFFSETS:	30-36
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(Aitogay~arit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitogay~ar+it
        GLOSS:	be changed+it/they/she

 INPUT STRING:	للافضل
     IS_TRANS:	llAfDl
        INDEX:	P1W7
      OFFSETS:	37-43
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(lil>afoDal)
          POS:	PREP+DET+ADJ_COMP
          VOC:	li+Al+>afoDal
        GLOSS:	to/for+the+better/best

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P1W8
      OFFSETS:	44-47
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P1W9
      OFFSETS:	48-54
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	عشان
