 INPUT STRING:	ببساطة
     IS_TRANS:	bbsATp
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basATap_1]
   UNSPLITVOC:	(bibasATap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+basAT+ap
        GLOSS:	with/by+frankness/sincerity/simplicity/plainness+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P1W2
      OFFSETS:	7-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that way

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P1W3
      OFFSETS:	11-15
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	CONJ+PREP
          VOC:	wi+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	بلاطة
     IS_TRANS:	blATp
        INDEX:	P1W4
      OFFSETS:	16-21
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balATap_1]
   UNSPLITVOC:	(balATap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	balAT+ap
        GLOSS:	floor tile/floor tiles+[fem.sg.]

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P1W5
      OFFSETS:	22-26
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~i+nA
        GLOSS:	all+our

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P1W6
      OFFSETS:	27-33
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+two

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W7
      OFFSETS:	34-36
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	مجند
     IS_TRANS:	mjnd
        INDEX:	P1W8
      OFFSETS:	37-41
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujan~ad_1]
   UNSPLITVOC:	(mujan~ad)
          POS:	NOUN
          VOC:	mujan~ad
        GLOSS:	recruit/conscript/draftee

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P1W9
      OFFSETS:	42-47
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	المركزي
     IS_TRANS:	Almrkzy
        INDEX:	P1W10
      OFFSETS:	48-55
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaziy_1]
   UNSPLITVOC:	(Almarokaziy)
          POS:	DET+ADJ
          VOC:	Al+marokaziy
        GLOSS:	the+central

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1W11
      OFFSETS:	56-58
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	موظف
     IS_TRANS:	mwZf
        INDEX:	P1W12
      OFFSETS:	59-63
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwaZ~af_1]
   UNSPLITVOC:	(muwaZ~af)
          POS:	NOUN
          VOC:	muwaZ~af
        GLOSS:	employee

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W13
      OFFSETS:	63-64
