 INPUT STRING:	ههههه
     IS_TRANS:	hhhhh
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	sound of laugh

 INPUT STRING:	يادي
     IS_TRANS:	yAdy
        INDEX:	P1W2
      OFFSETS:	6-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAdy)
          POS:	NO_FUNC
          VOC:	yAdy
        GLOSS:	nogloss

 INPUT STRING:	الفضيحة
     IS_TRANS:	AlfDyHp
        INDEX:	P1W3
      OFFSETS:	11-18
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDiyHap_1]
   UNSPLITVOC:	(AlfiDiyHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fiDiyH+ap
        GLOSS:	the+disgrace/scandal/scandals+[fem.sg.]

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P1W4
      OFFSETS:	19-21
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	جلاجل
     IS_TRANS:	jlAjl
        INDEX:	P1W5
      OFFSETS:	22-27
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jalAjil_1]
   UNSPLITVOC:	(jalAjil)
          POS:	NOUN
          VOC:	jalAjil
        GLOSS:	bells/jingles

 INPUT STRING:	يادي
     IS_TRANS:	yAdy
        INDEX:	P1W6
      OFFSETS:	28-32
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAdy)
          POS:	NO_FUNC
          VOC:	yAdy
        GLOSS:	nogloss

 INPUT STRING:	الجرصة
     IS_TRANS:	AljrSp
        INDEX:	P1W7
      OFFSETS:	33-39
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juroSap_1]
   UNSPLITVOC:	(AljuroSap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+juroS+ap
        GLOSS:	the+scandale+[fem.sing.]

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P1W8
      OFFSETS:	40-42
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	حناجل
     IS_TRANS:	HnAjl
        INDEX:	P1W9
      OFFSETS:	43-48
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HanAjil_1]
   UNSPLITVOC:	(HanAjil)
          POS:	NOUN
          VOC:	HanAjil
        GLOSS:	bracelet/jingles

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W10
      OFFSETS:	48-49
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W11
      OFFSETS:	49-50
