 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	القصه
     IS_TRANS:	AlqSh
        INDEX:	P1W2
      OFFSETS:	4-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiS~ap_1]
   UNSPLITVOC:	(AlqiS~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qiS~+ap
        GLOSS:	the+story+[fem.sg.]

 INPUT STRING:	قراتها
     IS_TRANS:	qrAthA
        INDEX:	P1W3
      OFFSETS:	10-16
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qara>_1]
   UNSPLITVOC:	(qara>tahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	qara>+t+hA
        GLOSS:	read+I [verb]+it/them/her

 INPUT STRING:	فاعجبنى
     IS_TRANS:	fAEjbnY
        INDEX:	P1W4
      OFFSETS:	17-24
       TOKENS:	P1W5-P1W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEojab_1]
   UNSPLITVOC:	(fa>aEojabaniy)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	fa+>aEojab+a+niy
        GLOSS:	so/and+delight/please+he/it [verb]+me

 INPUT STRING:	كلامها
     IS_TRANS:	klAmhA
        INDEX:	P1W5
      OFFSETS:	25-31
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	kalAm+hA
        GLOSS:	speech/statement/remark/talk/saying+its/their/her

 INPUT STRING:	وهى
     IS_TRANS:	whY
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wihiy~a)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+hiy~a
        GLOSS:	and+she/it/they

 INPUT STRING:	منذ
     IS_TRANS:	mn*
        INDEX:	P2W2
      OFFSETS:	4-7
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muno*u_1]
   UNSPLITVOC:	(muno*u)
          POS:	PREP
          VOC:	muno*u
        GLOSS:	since/for/in/ago

 INPUT STRING:	متى
     IS_TRANS:	mtY
        INDEX:	P2W3
      OFFSETS:	8-11
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mataY_1]
   UNSPLITVOC:	(mataY)
          POS:	INTERROG_ADV
          VOC:	mataY
        GLOSS:	when

 INPUT STRING:	يتولى
     IS_TRANS:	ytwlY
        INDEX:	P2W4
      OFFSETS:	12-17
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitowal~ay_1]
   UNSPLITVOC:	(yitowal~aY)
          POS:	IV3MS+IV
          VOC:	yi+towal~aY
        GLOSS:	he/it+take charge of/be in charge of/seize control of

 INPUT STRING:	الحمير
     IS_TRANS:	AlHmyr
        INDEX:	P2W5
      OFFSETS:	18-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HumAr_1]
   UNSPLITVOC:	(AlHimiyr)
          POS:	DET+NOUN
          VOC:	Al+Himiyr
        GLOSS:	the+donkeys

 INPUT STRING:	المناصب
     IS_TRANS:	AlmnASb
        INDEX:	P2W6
      OFFSETS:	25-32
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoSib_1]
   UNSPLITVOC:	(AlmanASib)
          POS:	DET+NOUN
          VOC:	Al+manASib
        GLOSS:	the+posts/positions/offices

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W2
      OFFSETS:	4-6
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P3W3
      OFFSETS:	7-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W4
      OFFSETS:	12-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P3W5
      OFFSETS:	16-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W6
      OFFSETS:	21-23
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	ملك
     IS_TRANS:	mlk
        INDEX:	P3W7
      OFFSETS:	24-27
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malik_1]
