 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	مصطغى
     IS_TRANS:	mSTgY
        INDEX:	P1W2
      OFFSETS:	7-12
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mSTgY)
          POS:	TYPO
          VOC:	mSTgY
        GLOSS:	nogloss

 INPUT STRING:	بكرى
     IS_TRANS:	bkrY
        INDEX:	P1W3
      OFFSETS:	13-17
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakoriy~_1]
   UNSPLITVOC:	(bakoriy~)
          POS:	NOUN_PROP
          VOC:	bakoriy~
        GLOSS:	Bakri

 INPUT STRING:	اثناء
     IS_TRANS:	AvnA'
        INDEX:	P1W4
      OFFSETS:	18-23
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AvonA'_1]
   UNSPLITVOC:	(AvonA')
          POS:	NOUN
          VOC:	AvonA'
        GLOSS:	during

 INPUT STRING:	كلمتة
     IS_TRANS:	klmtp
        INDEX:	P1W5
      OFFSETS:	24-29
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kalimap_1]
   UNSPLITVOC:	(kalimathi)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	kalim+at+hi
        GLOSS:	word/remark/speech+[fem.sg.]+his/its

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W6
      OFFSETS:	30-32
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P1W7
      OFFSETS:	33-37
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P1W8
      OFFSETS:	38-43
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	اتهم
     IS_TRANS:	Athm
        INDEX:	P1W9
      OFFSETS:	44-48
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aham_1]
   UNSPLITVOC:	(Ait~aham)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Ait~aham+(null)
        GLOSS:	accuse+he/it

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P1W10
      OFFSETS:	49-57
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAdiEiy_1]
   UNSPLITVOC:	(AlbarAdiEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy
        GLOSS:	the+Baradei

 INPUT STRING:	انة
     IS_TRANS:	Anp
        INDEX:	P1W11
      OFFSETS:	58-61
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	خائن
     IS_TRANS:	xA}n
        INDEX:	P1W12
      OFFSETS:	62-66
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(xA}in)
          POS:	NOUN
          VOC:	xA}in
        GLOSS:	traitor/treacherous

 INPUT STRING:	وعميل
     IS_TRANS:	wEmyl
        INDEX:	P1W13
      OFFSETS:	67-72
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(wiEamiyl)
          POS:	CONJ+NOUN
          VOC:	wi+Eamiyl
        GLOSS:	and+agent/agents

 INPUT STRING:	لامريكا
     IS_TRANS:	lAmrykA
