 INPUT STRING:	المستشار
     IS_TRANS:	Almst$Ar
        INDEX:	P1W1
      OFFSETS:	0-8
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$Ar_1]
   UNSPLITVOC:	(Almusota$Ar)
          POS:	DET+NOUN
          VOC:	Al+musota$Ar
        GLOSS:	the+counselor/adviser

 INPUT STRING:	أشرف
     IS_TRANS:	>$rf
        INDEX:	P1W2
      OFFSETS:	9-13
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$oraf_1]
   UNSPLITVOC:	(>a$oraf)
          POS:	NOUN_PROP
          VOC:	>a$oraf
        GLOSS:	Ashraf

 INPUT STRING:	زهران
     IS_TRANS:	zhrAn
        INDEX:	P1W3
      OFFSETS:	14-19
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zahorAn_1]
   UNSPLITVOC:	(zahorAn)
          POS:	NOUN_PROP
          VOC:	zahorAn
        GLOSS:	Zahran

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P1W4
      OFFSETS:	19-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	صفقة
     IS_TRANS:	Sfqp
        INDEX:	P1W5
      OFFSETS:	21-25
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safoqap_1]
   UNSPLITVOC:	(Safoqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Safoq+ap
        GLOSS:	deal/transaction/deals/transactions+[fem.sg.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P1W6
      OFFSETS:	26-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/among

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P1W7
      OFFSETS:	30-36
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	والعسكرى
     IS_TRANS:	wAlEskrY
        INDEX:	P1W8
      OFFSETS:	37-45
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(wiAlEasokariy)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wi+Al+Easokariy
        GLOSS:	and+the+Askariy

 INPUT STRING:	بقضية
     IS_TRANS:	bqDyp
        INDEX:	P1W9
      OFFSETS:	46-51
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(biqaDiy~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+qaDiy~+ap
        GLOSS:	with/by+problem/issue/problems/issues+[fem.sg.]

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P1W10
      OFFSETS:	52-59
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	مارايك
     IS_TRANS:	mArAyk
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mArAyk)
          POS:	NO_FUNC
          VOC:	mArAyk
        GLOSS:	nogloss

 INPUT STRING:	فيا
     IS_TRANS:	fyA
        INDEX:	P2W2
      OFFSETS:	7-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(fyA)
          POS:	TYPO
          VOC:	fyA
        GLOSS:	nogloss

 INPUT STRING:	ورد
     IS_TRANS:	wrd
        INDEX:	P2W3
      OFFSETS:	11-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warad_1]
   UNSPLITVOC:	(warad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	warad+(null)
        GLOSS:	appear/reach/arrive/come to/be mentioned+he/it

 INPUT STRING:	بالخبر
     IS_TRANS:	bAlxbr
        INDEX:	P2W4
      OFFSETS:	15-21
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(biAlxabar)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+xabar
        GLOSS:	with/by+the+news/report

 INPUT STRING:	خصوصا
     IS_TRANS:	xSwSA
        INDEX:	P2W5
      OFFSETS:	22-27
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(xuSuwSAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xuSuwS+AF
        GLOSS:	matter/issue/regard/respect/especially/in particular+[acc.indef.]

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P2W6
      OFFSETS:	28-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	تنحى
     IS_TRANS:	tnHY
        INDEX:	P2W7
      OFFSETS:	32-36
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanaH~iy_1]
   UNSPLITVOC:	(tanaH~iy)
          POS:	NOUN
          VOC:	tanaH~iy
        GLOSS:	withdrawal/abandonment

 INPUT STRING:	القضاة
     IS_TRANS:	AlqDAp
        INDEX:	P2W8
      OFFSETS:	37-43
       TOKENS:	P2W9-P2W9
