 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P1W2
      OFFSETS:	4-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	قام
     IS_TRANS:	qAm
        INDEX:	P1W3
      OFFSETS:	7-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAm)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAm+(null)
        GLOSS:	be based (on)+he/it

 INPUT STRING:	بإستفزاز
     IS_TRANS:	b<stfzAz
        INDEX:	P1W4
      OFFSETS:	11-19
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotifozAz_1]
   UNSPLITVOC:	(biAisotifozAz)
          POS:	PREP+NOUN
          VOC:	bi+AisotifozAz
        GLOSS:	with/by+provocation/harassment

 INPUT STRING:	مشاعر
     IS_TRANS:	m$AEr
        INDEX:	P1W5
      OFFSETS:	20-25
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$AEir_1]
   UNSPLITVOC:	(ma$AEir)
          POS:	NOUN
          VOC:	ma$AEir
        GLOSS:	feelings/emotions/senses

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P1W6
      OFFSETS:	26-34
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptians+[masc.pl.]

 INPUT STRING:	بإحتفاله
     IS_TRANS:	b<HtfAlh
        INDEX:	P1W7
      OFFSETS:	35-43
       TOKENS:	P1W8-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHtifAl_1]
   UNSPLITVOC:	(bi<iHtifAluh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+<iHtifAl+uh
        GLOSS:	with+celebration+his/its

 INPUT STRING:	بأهداف
     IS_TRANS:	b>hdAf
        INDEX:	P1W8
      OFFSETS:	44-50
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(bi>ahodAf)
          POS:	PREP+NOUN
          VOC:	bi+>ahodAf
        GLOSS:	with+goals

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W9
      OFFSETS:	51-53
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدورى
     IS_TRANS:	AldwrY
        INDEX:	P1W10
      OFFSETS:	54-60
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawriy_1]
   UNSPLITVOC:	(Ald~awriy)
          POS:	DET+NOUN
          VOC:	Al+dawriy
        GLOSS:	the+league (sports)

 INPUT STRING:	الألمانى
     IS_TRANS:	Al>lmAnY
        INDEX:	P1W11
      OFFSETS:	61-69
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>alomAniy~_1]
   UNSPLITVOC:	(Al>alomAniy~)
          POS:	DET+ADJ
          VOC:	Al+>alomAniy~
        GLOSS:	the+German

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W12
      OFFSETS:	70-72
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
