 INPUT STRING:	ههههههههههههههههههههه
     IS_TRANS:	hhhhhhhhhhhhhhhhhhhhh
        INDEX:	P1W1
      OFFSETS:	0-21
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	express happiness

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	كلكم
     IS_TRANS:	klkm
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ukum)
          POS:	NOUN_QUANT+POSS_PRON_2P
          VOC:	kul~+kum
        GLOSS:	all, entire, every, whole+your

 INPUT STRING:	فاكرين
     IS_TRANS:	fAkryn
        INDEX:	P2W3
      OFFSETS:	10-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAkir_1]
   UNSPLITVOC:	(fAkoriyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	fAkor+iyn
        GLOSS:	remembering+[masc.pl.]

 INPUT STRING:	مسرحيه
     IS_TRANS:	msrHyh
        INDEX:	P2W4
      OFFSETS:	17-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masoraHiy~ap_1]
   UNSPLITVOC:	(masoraHiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	masoraHiy~+ap
        GLOSS:	play/ drama+[fem.sg.]

 INPUT STRING:	عش
     IS_TRANS:	E$
        INDEX:	P2W5
      OFFSETS:	26-28
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ei$~_1]
   UNSPLITVOC:	(Ei$~)
          POS:	NOUN
          VOC:	Ei$~
        GLOSS:	nest

 INPUT STRING:	المجانيين
     IS_TRANS:	AlmjAnyyn
        INDEX:	P2W6
      OFFSETS:	29-38
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[majonuwn_1]
   UNSPLITVOC:	(AlmajAniyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+majAn+iyn
        GLOSS:	the+crazy/mad+[masc.pl.]

 INPUT STRING:	بتاعه
     IS_TRANS:	btAEh
        INDEX:	P3W1
      OFFSETS:	0-5
