 INPUT STRING:	اعتقد
     IS_TRANS:	AEtqd
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(AaEotaqid)
          POS:	IV1S+IV
          VOC:	Aa+Eotaqid
        GLOSS:	I+believe

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W2
      OFFSETS:	6-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	النسب
     IS_TRANS:	Alnsb
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(Aln~isab)
          POS:	DET+NOUN
          VOC:	Al+nisab
        GLOSS:	the+ratios/rates/percentage figures

 INPUT STRING:	تتعدى
     IS_TRANS:	ttEdY
        INDEX:	P1W4
      OFFSETS:	15-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEad~aY_1]
   UNSPLITVOC:	(tataEad~aY)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	ta+taEad~aY+(null)
        GLOSS:	it/they/she+overstep/exceed/go beyond+[ind.]

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P1W5
      OFFSETS:	21-24
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*ihi_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	بكثير
     IS_TRANS:	bkvyr
        INDEX:	P1W6
      OFFSETS:	25-30
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(bikaviyr)
          POS:	PREP+ADJ
          VOC:	bi+kaviyr
        GLOSS:	with/by+many/much/numerous

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W7
      OFFSETS:	31-33
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كلا
     IS_TRANS:	klA
        INDEX:	P1W8
      OFFSETS:	34-37
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kilA_1]
   UNSPLITVOC:	(kilA)
          POS:	NOUN_QUANT
          VOC:	kilA
        GLOSS:	both of

 INPUT STRING:	الجنسين
     IS_TRANS:	Aljnsyn
        INDEX:	P1W9
      OFFSETS:	38-45
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jinos_1]
   UNSPLITVOC:	(Aljinosiyn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+jinos+iyn
        GLOSS:	the+gender/sex+two

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+NOUN
          VOC:	Al+maforuwD
        GLOSS:	the+obligation/duty

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P2W2
      OFFSETS:	8-12
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whose

 INPUT STRING:	يدخن
     IS_TRANS:	ydxn
        INDEX:	P2W3
      OFFSETS:	13-17
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dax~in_1]
   UNSPLITVOC:	(yidax~in)
          POS:	IV3MS+IV
          VOC:	yi+dax~in
        GLOSS:	he/it+smoke

 INPUT STRING:	يفتح
     IS_TRANS:	yftH
        INDEX:	P2W4
      OFFSETS:	18-22
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(yifotaH)
          POS:	IV3MS+IV
          VOC:	yi+fotaH
        GLOSS:	he/it+open/conquer/be opened/be conquered

 INPUT STRING:	الشباك
     IS_TRANS:	Al$bAk
        INDEX:	P2W5
      OFFSETS:	23-29
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ib~Ak_1]
   UNSPLITVOC:	(Al$~ib~Ak)
          POS:	DET+NOUN
          VOC:	Al+$ib~Ak
        GLOSS:	the+window

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P2W6
      OFFSETS:	30-33
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P2W7
      OFFSETS:	34-38
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	الريحه
     IS_TRANS:	AlryHh
        INDEX:	P2W8
      OFFSETS:	39-45
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyHap_1]
   UNSPLITVOC:	(Alr~iyHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riyH+ap
        GLOSS:	the+smell/odor+[fem.sg.]

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+that

 INPUT STRING:	يقوله
     IS_TRANS:	yqwlh
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwluh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+quwl+uh
        GLOSS:	he/it+said/say/be said/say/(for example)+him

 INPUT STRING:	اماكن
     IS_TRANS:	AmAkn
        INDEX:	P3W3
      OFFSETS:	12-17
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AmAkin)
          POS:	NOUN
          VOC:	AmAkin
        GLOSS:	place/location/position

 INPUT STRING:	مغلقه
     IS_TRANS:	mglqh
        INDEX:	P3W4
      OFFSETS:	18-23
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mugolaq_1]
   UNSPLITVOC:	(mugolaqap)
