 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P1W1
      OFFSETS:	1-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P1W2
      OFFSETS:	7-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	منفعل
     IS_TRANS:	mnfEl
        INDEX:	P1W3
      OFFSETS:	11-16
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minofiEil_1]
   UNSPLITVOC:	(minofiEil)
          POS:	ADJ
          VOC:	minofiEil
        GLOSS:	agitated/excited

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W4
      OFFSETS:	17-18
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بلال
     IS_TRANS:	blAl
        INDEX:	P1W5
      OFFSETS:	19-23
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bilAl_1]
   UNSPLITVOC:	(bilAl)
          POS:	NOUN_PROP
          VOC:	bilAl
        GLOSS:	Bilal

 INPUT STRING:	فضل
     IS_TRANS:	fDl
        INDEX:	P1W6
      OFFSETS:	24-27
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faDol_3]
   UNSPLITVOC:	(faDol)
          POS:	NOUN_PROP
          VOC:	faDol
        GLOSS:	Fadl

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W7
      OFFSETS:	28-29
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W8
      OFFSETS:	29-30
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P2W1
      OFFSETS:	1-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eanod+ak
        GLOSS:	have+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P2W2
      OFFSETS:	6-8
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W3
      OFFSETS:	8-9
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	المسألة
     IS_TRANS:	Alms>lp
        INDEX:	P2W4
      OFFSETS:	10-17
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso>alap_1]
   UNSPLITVOC:	(Almaso>alap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maso>al+ap
        GLOSS:	the+issue/affair/matter/question+[fem.sg.]

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P2W5
      OFFSETS:	18-22
       TOKENS:	P2W6-P2W7
