 INPUT STRING:	زواج
     IS_TRANS:	zwAj
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(zawAj)
          POS:	NOUN
          VOC:	zawAj
        GLOSS:	marriage/wedding

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P1W2
      OFFSETS:	5-13
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmSryyn)
          POS:	NO_FUNC
          VOC:	AlmSryyn
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W3
      OFFSETS:	14-16
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	إسرائيليات
     IS_TRANS:	<srA}ylyAt
        INDEX:	P1W4
      OFFSETS:	17-27
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy_1]
   UNSPLITVOC:	(<isorA}iyliy~At)
          POS:	ADJ+NSUFF_FEM_PL
          VOC:	<isorA}iyliy~+At
        GLOSS:	Israeli+[fem.pl.]

 INPUT STRING:	السلام
     IS_TRANS:	AlslAm
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(Als~alAm)
          POS:	DET+NOUN
          VOC:	Al+salAm
        GLOSS:	the+peace

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P2W2
      OFFSETS:	7-12
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you [.pl.]

 INPUT STRING:	ورحمة
     IS_TRANS:	wrHmp
        INDEX:	P2W3
      OFFSETS:	13-18
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(wiraHomap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+raHom+ap
        GLOSS:	and+compassion/mercy+[fem.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W4
      OFFSETS:	19-23
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God/Allah

 INPUT STRING:	وبركاته
     IS_TRANS:	wbrkAth
        INDEX:	P2W5
      OFFSETS:	24-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wbrkAth)
          POS:	NO_FUNC
          VOC:	wbrkAth
        GLOSS:	nogloss

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	اسباب
     IS_TRANS:	AsbAb
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(>asobAb)
          POS:	NOUN
          VOC:	>asobAb
        GLOSS:	reasons/causes/circumstances

 INPUT STRING:	عديده
     IS_TRANS:	Edydh
        INDEX:	P3W3
      OFFSETS:	11-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadiyd_1]
   UNSPLITVOC:	(Eadiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eadiyd+ap
        GLOSS:	numerous/many+[fem.sg.]

 INPUT STRING:	لزواج
     IS_TRANS:	lzwAj
        INDEX:	P3W4
      OFFSETS:	17-22
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(lizawAj)
          POS:	PREP+NOUN
          VOC:	li+zawAj
        GLOSS:	for/to+marriage/wedding

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P3W5
      OFFSETS:	23-31
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmSryyn)
          POS:	NO_FUNC
          VOC:	AlmSryyn
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W6
      OFFSETS:	32-34
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	إسرائيليات
     IS_TRANS:	<srA}ylyAt
        INDEX:	P3W7
      OFFSETS:	35-45
       TOKENS:	P3W8-P3W8
