 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(wa>anA)
          POS:	CONJ+PRON_1S
          VOC:	wa+>anA
        GLOSS:	and+I

 INPUT STRING:	بعلى
     IS_TRANS:	bElY
        INDEX:	P1W2
      OFFSETS:	5-9
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eal~aY_1]
   UNSPLITVOC:	(baEal~iy)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+Eal~iy
        GLOSS:	[present-tense]+I+elevate/raise

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P1W3
      OFFSETS:	10-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+car+[fem.sg.]

 INPUT STRING:	العفشجى
     IS_TRANS:	AlEf$jY
        INDEX:	P1W4
      OFFSETS:	18-25
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eaf$ajiy_1]
   UNSPLITVOC:	(AlEaf$ajiy)
          POS:	DET+NOUN
          VOC:	Al+Eaf$ajiy
        GLOSS:	the+mechaniky

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P1W5
      OFFSETS:	26-29
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	جه
     IS_TRANS:	jh
        INDEX:	P1W6
      OFFSETS:	30-32
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(jA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA+(null)
        GLOSS:	came/come/com with them+he/it

 INPUT STRING:	يحط
     IS_TRANS:	yHT
        INDEX:	P1W7
      OFFSETS:	33-36
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(yiHuT~)
          POS:	IV3MS+IV
          VOC:	yi+HuT~
        GLOSS:	he/it+descend/land/set down/lower

 INPUT STRING:	العلاية
     IS_TRANS:	AlElAyp
        INDEX:	P1W8
      OFFSETS:	37-44
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalAyap_1]
   UNSPLITVOC:	(AlEalAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EalAy+ap
        GLOSS:	the+loftiness/height+[fem.sg.]

 INPUT STRING:	شال
     IS_TRANS:	$Al
        INDEX:	P1W9
      OFFSETS:	45-48
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	($Al)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$Al+(null)
        GLOSS:	carry/lift+he/it

 INPUT STRING:	الكوتشة
     IS_TRANS:	Alkwt$p
        INDEX:	P1W10
      OFFSETS:	49-56
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kawito$_1]
   UNSPLITVOC:	(Alkawito$ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kawito$+ap
        GLOSS:	the+rubber+[fem.sg.]

