 INPUT STRING:	لميس
     IS_TRANS:	lmys
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamiys_1]
   UNSPLITVOC:	(lamiys)
          POS:	NOUN_PROP
          VOC:	lamiys
        GLOSS:	Lamis

 INPUT STRING:	الحديدي
     IS_TRANS:	AlHdydy
        INDEX:	P1W2
      OFFSETS:	5-12
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiydiy_1]
   UNSPLITVOC:	(AlHadiydiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Hadiydiy
        GLOSS:	the+Hadidi

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P1W3
      OFFSETS:	13-18
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlS~uboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings/daybreak

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P1W4
      OFFSETS:	19-23
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P1W5
      OFFSETS:	24-29
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W6
      OFFSETS:	30-32
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W7
      OFFSETS:	33-35
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	حريق
     IS_TRANS:	Hryq
        INDEX:	P1W8
      OFFSETS:	36-40
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hariyq_1]
   UNSPLITVOC:	(Hariyq)
          POS:	NOUN
          VOC:	Hariyq
        GLOSS:	fire/fires

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W9
      OFFSETS:	41-43
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مأموريه
     IS_TRANS:	m>mwryh
        INDEX:	P1W10
      OFFSETS:	44-51
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma>omuwriy~ap_1]
   UNSPLITVOC:	(ma>omuwriy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ma>omuwriy~+ap
        GLOSS:	office+[fem.sg.]

 INPUT STRING:	الضرائب
     IS_TRANS:	AlDrA}b
        INDEX:	P1W11
      OFFSETS:	52-59
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dariybap_1]
   UNSPLITVOC:	(AlD~arA}ib)
          POS:	DET+NOUN
          VOC:	Al+DarA}ib
        GLOSS:	the+taxes/levies

 INPUT STRING:	واتصلت
     IS_TRANS:	wAtSlt
        INDEX:	P1W12
      OFFSETS:	60-66
       TOKENS:	P1W14-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aSal_1]
   UNSPLITVOC:	(wiAit~aSalit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+Ait~aSal+it
        GLOSS:	and+contact+it/they/she

 INPUT STRING:	بمسئولين
     IS_TRANS:	bms}wlyn
        INDEX:	P1W13
      OFFSETS:	67-75
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso}uwl_1]
   UNSPLITVOC:	(bimaso}uwliyn)
          POS:	PREP+NOUN+NSUFF_MASC_PL
          VOC:	bi+maso}uwl+iyn
        GLOSS:	with/by+official/functionary+[pl.]

 INPUT STRING:	قالو
     IS_TRANS:	qAlw
        INDEX:	P1W14
      OFFSETS:	76-80
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAl+uwA
        GLOSS:	said/say/be said/say/(for example)+they

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P1W15
      OFFSETS:	81-85
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfy$)
          POS:	NO_FUNC
          VOC:	mfy$
        GLOSS:	nogloss

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P1W16
