 INPUT STRING:	اقتل
     IS_TRANS:	Aqtl
        INDEX:	P1W1
      OFFSETS:	1-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(Auqtul)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Auqtul+(null)
        GLOSS:	kill+you

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P1W2
      OFFSETS:	6-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	مصرى
     IS_TRANS:	mSrY
        INDEX:	P1W3
      OFFSETS:	11-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	واتسجن
     IS_TRANS:	wAtsjn
        INDEX:	P1W4
      OFFSETS:	16-22
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sajan_1]
   UNSPLITVOC:	(wiAitosijin)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:2MS
          VOC:	wi+Aitosijin+(null)
        GLOSS:	and+be imprisoned+you[masc.]

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P1W5
      OFFSETS:	23-28
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yuwmayn)
          POS:	NOUN+NSUFF_MASC_DU
