 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P1W1
      OFFSETS:	1-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	يطالب
     IS_TRANS:	yTAlb
        INDEX:	P1W2
      OFFSETS:	8-13
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(yiTAlib)
          POS:	IV3MS+IV
          VOC:	yi+TAlib
        GLOSS:	he/it+demand/require

 INPUT STRING:	بقانون
     IS_TRANS:	bqAnwn
        INDEX:	P1W3
      OFFSETS:	14-20
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(biqAnuwn)
          POS:	PREP+NOUN
          VOC:	bi+qAnuwn
        GLOSS:	with/by+law/statutes/regulations/laws/rules

 INPUT STRING:	يجرم
     IS_TRANS:	yjrm
        INDEX:	P1W4
      OFFSETS:	21-25
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~am_1]
   UNSPLITVOC:	(yijar~am)
          POS:	IV3MS+IV
          VOC:	yi+jar~am
        GLOSS:	he/it+criminalize/incriminate

 INPUT STRING:	اعتناق
     IS_TRANS:	AEtnAq
        INDEX:	P1W5
      OFFSETS:	26-32
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEtinAq_1]
   UNSPLITVOC:	(AiEtinAq)
          POS:	NOUN
          VOC:	AiEtinAq
        GLOSS:	adoption/embracing

 INPUT STRING:	البهائية
     IS_TRANS:	AlbhA}yp
        INDEX:	P1W6
      OFFSETS:	33-41
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bahA}iy~ap_1]
   UNSPLITVOC:	(AlbahA}iy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+bahA}iy~+ap
        GLOSS:	the+Baha'i+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P2W2
      OFFSETS:	3-7
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P2W3
      OFFSETS:	8-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
