 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	عقيد
     IS_TRANS:	Eqyd
        INDEX:	P1W2
      OFFSETS:	3-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqiyd_1]
   UNSPLITVOC:	(Eaqiyd)
          POS:	NOUN
          VOC:	Eaqiyd
        GLOSS:	colonel/colonels

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P1W3
      OFFSETS:	8-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P1W4
      OFFSETS:	15-19
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	الغنام
     IS_TRANS:	AlgnAm
        INDEX:	P1W5
      OFFSETS:	20-26
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gan~Am_2]
   UNSPLITVOC:	(Algan~Am)
          POS:	DET+NOUN_PROP
          VOC:	Al+gan~Am
        GLOSS:	the+Ghannam

 INPUT STRING:	أحد
     IS_TRANS:	>Hd
        INDEX:	P1W6
      OFFSETS:	27-30
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one of /someone/ anyone/no-one/ones

 INPUT STRING:	المعارضين
     IS_TRANS:	AlmEArDyn
        INDEX:	P1W7
      OFFSETS:	31-40
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAriD_1]
   UNSPLITVOC:	(AlmuEAriDiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muEAriD+iyn
        GLOSS:	the+opposing+two

 INPUT STRING:	لنظام
     IS_TRANS:	lnZAm
        INDEX:	P1W8
      OFFSETS:	41-46
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(liniZAm)
          POS:	PREP+NOUN
          VOC:	li+niZAm
        GLOSS:	for/to+regime/government

 INPUT STRING:	المخلوع
     IS_TRANS:	AlmxlwE
        INDEX:	P1W9
      OFFSETS:	47-54
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoluwE_1]
   UNSPLITVOC:	(AlmaxoluwE)
          POS:	DET+ADJ
          VOC:	Al+maxoluwE
        GLOSS:	the+deposed/toppled/removed (from office)/unrestrained/irresponsible

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P1W10
      OFFSETS:	55-60
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	وتم
     IS_TRANS:	wtm
        INDEX:	P1W11
      OFFSETS:	61-64
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(witam~)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+tam~+(null)
        GLOSS:	and+conclude/take place+he/it

 INPUT STRING:	فصله
     IS_TRANS:	fSlh
        INDEX:	P1W12
      OFFSETS:	65-69
       TOKENS:	P1W14-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faSl_1]
   UNSPLITVOC:	(faSluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	faSl+uh
        GLOSS:	dismissal+his/its

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W13
