 INPUT STRING:	قالت
     IS_TRANS:	qAlt
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAl+it
        GLOSS:	said+it/they/she [verb]

 INPUT STRING:	الفنانة
     IS_TRANS:	AlfnAnp
        INDEX:	P1W2
      OFFSETS:	5-12
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fan~An_1]
   UNSPLITVOC:	(Alfan~Anap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fan~An+ap
        GLOSS:	the+artist+[fem.sg.]

 INPUT STRING:	سُمية
     IS_TRANS:	sumyp
        INDEX:	P1W3
      OFFSETS:	13-18
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sumay~ap_1]
   UNSPLITVOC:	(sumay~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	sumay~+ap
        GLOSS:	Sumaya+[fem.sg.]

 INPUT STRING:	الخشاب
     IS_TRANS:	Alx$Ab
        INDEX:	P1W4
      OFFSETS:	19-25
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xa$~Ab_2]
   UNSPLITVOC:	(Alxa$~Ab)
          POS:	DET+NOUN_PROP
          VOC:	Al+xa$~Ab
        GLOSS:	the+Khashab

 INPUT STRING:	لجريدة
     IS_TRANS:	ljrydp
        INDEX:	P1W5
      OFFSETS:	26-32
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariydap_1]
   UNSPLITVOC:	(lijariydap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+jariyd+ap
        GLOSS:	for/to+newspaper/journal+[fem.sg.]

 INPUT STRING:	البشاير
     IS_TRANS:	Alb$Ayr
        INDEX:	P1W6
      OFFSETS:	34-41
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ba$Ayir_1]
   UNSPLITVOC:	(Alba$Ayir)
          POS:	DET+NOUN_PROP
          VOC:	Al+ba$Ayir
        GLOSS:	the+Bashair/Bashayir

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P1W7
      OFFSETS:	42-43
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	إنها
     IS_TRANS:	<nhA
        INDEX:	P1W8
      OFFSETS:	44-48
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/they/she

 INPUT STRING:	ترغب
     IS_TRANS:	trgb
        INDEX:	P1W9
      OFFSETS:	49-53
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tarogab_1]
   UNSPLITVOC:	(tarogab)
          POS:	IV3FS+IV
          VOC:	ta+rogab
        GLOSS:	she+desire

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P1W10
      OFFSETS:	54-60
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W11
      OFFSETS:	61-63
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سلفي
     IS_TRANS:	slfy
        INDEX:	P1W12
      OFFSETS:	64-68
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(salafiy)
          POS:	NOUN_PROP
          VOC:	salafiy
