 INPUT STRING:	لقد
     IS_TRANS:	lqd
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(laqado)
          POS:	VERB_PART
          VOC:	laqado
        GLOSS:	already

 INPUT STRING:	فعلها
     IS_TRANS:	fElhA
        INDEX:	P1W2
      OFFSETS:	4-9
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faEal_1]
   UNSPLITVOC:	(faEalhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	faEal+(null)+hA
        GLOSS:	do/act+he/it+it/them/her

 INPUT STRING:	الأخوان
     IS_TRANS:	Al>xwAn
        INDEX:	P1W3
      OFFSETS:	10-17
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ixwAn_1]
   UNSPLITVOC:	(Al>ixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+>ixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	أولا
     IS_TRANS:	>wlA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_2]
   UNSPLITVOC:	(>uwlA)
          POS:	ADJ_NUM
          VOC:	>uwlA
        GLOSS:	first

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P2W2
      OFFSETS:	5-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	تعيين
     IS_TRANS:	tEyyn
        INDEX:	P2W3
      OFFSETS:	7-12
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoyiyn_1]
   UNSPLITVOC:	(taEoyiyn)
          POS:	NOUN.VN
          VOC:	taEoyiyn
        GLOSS:	appointing/assignment

 INPUT STRING:	رفيق
     IS_TRANS:	rfyq
        INDEX:	P2W4
      OFFSETS:	13-17
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafiyq_1]
   UNSPLITVOC:	(rafiyq)
          POS:	NOUN_PROP
          VOC:	rafiyq
        GLOSS:	Rafiq/Rafeek

 INPUT STRING:	حبيب
     IS_TRANS:	Hbyb
        INDEX:	P2W5
      OFFSETS:	18-22
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_2]
   UNSPLITVOC:	(Habiyb)
          POS:	NOUN_PROP
          VOC:	Habiyb
        GLOSS:	Habib/Habeeb

 INPUT STRING:	القبطى
     IS_TRANS:	AlqbTY
        INDEX:	P2W6
      OFFSETS:	23-29
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(AlqiboTiy)
          POS:	DET+ADJ
          VOC:	Al+qiboTiy
        GLOSS:	the+Coptic

 INPUT STRING:	نائب
     IS_TRANS:	nA}b
        INDEX:	P2W7
      OFFSETS:	30-34
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(nA}ib)
          POS:	ADJ
          VOC:	nA}ib
        GLOSS:	representing/substituting

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P2W8
      OFFSETS:	35-39
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P2W9
      OFFSETS:	40-43
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party

 INPUT STRING:	العدالة
     IS_TRANS:	AlEdAlp
        INDEX:	P2W10
      OFFSETS:	44-51
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EadAlap_1]
   UNSPLITVOC:	(AlEadAlap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+EadAl+ap
        GLOSS:	the+Adala+[fem.sg.]

 INPUT STRING:	للأخوان
     IS_TRANS:	ll>xwAn
        INDEX:	P2W11
      OFFSETS:	52-59
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ixwAn_1]
   UNSPLITVOC:	(liAl>ixwAn)
          POS:	PREP+DET+NOUN_PROP
          VOC:	li+Al+>ixwAn
        GLOSS:	to/for+the+Ikhwan

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P2W12
      OFFSETS:	60-68
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Almslmyn)
          POS:	NO_FUNC
          VOC:	Almslmyn
        GLOSS:	nogloss

 INPUT STRING:	ثانيا
     IS_TRANS:	vAnyA
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniyAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	vAniy+AF
        GLOSS:	secondly+[acc.indef.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P3W2
      OFFSETS:	6-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
