 INPUT STRING:	بصراحة
     IS_TRANS:	bSrAHp
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W2
      OFFSETS:	7-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	شخصيا
     IS_TRANS:	$xSyA
        INDEX:	P1W3
      OFFSETS:	11-16
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~_1]
   UNSPLITVOC:	($axoSiy~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$axoSiy~+AF
        GLOSS:	individual/person+[acc.indef.]

 INPUT STRING:	وغيرى
     IS_TRANS:	wgyrY
        INDEX:	P1W4
      OFFSETS:	17-22
       TOKENS:	P1W5-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(wigayoriy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+gayor+iy
        GLOSS:	and+not/other+my

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P1W5
      OFFSETS:	23-27
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	much/numerous/a lot/many

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P1W6
      OFFSETS:	28-31
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	much/very+[acc.indef.]

 INPUT STRING:	بيعلنوا
     IS_TRANS:	byElnwA
        INDEX:	P1W7
      OFFSETS:	32-39
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(biyiEolinuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Eolin+uwA
        GLOSS:	[present-tense]+they+announce/declare/be announced/be declared+[pl.]

 INPUT STRING:	استياءهم
     IS_TRANS:	AstyA'hm
        INDEX:	P1W8
      OFFSETS:	40-48
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isotiyA'_1]
   UNSPLITVOC:	(<isotiyA'hum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	<isotiyA'+hum
        GLOSS:	dissatisfaction/displeasure+their

 INPUT STRING:	الشديد
     IS_TRANS:	Al$dyd
        INDEX:	P1W9
      OFFSETS:	49-55
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$idiyd_1]
   UNSPLITVOC:	(Al$~idiyd)
          POS:	DET+ADJ
          VOC:	Al+$idiyd
        GLOSS:	the+intensive/strong

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W10
      OFFSETS:	56-58
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تصرفات
     IS_TRANS:	tSrfAt
        INDEX:	P1W11
      OFFSETS:	59-65
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSar~uf_1]
   UNSPLITVOC:	(taSar~ufAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	taSar~uf+At
        GLOSS:	behavior/conduct/disposal/measures/regulations+[fem.pl.]

 INPUT STRING:	الاخوة
     IS_TRANS:	AlAxwp
        INDEX:	P1W12
      OFFSETS:	66-72
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ax_1]
   UNSPLITVOC:	(Al<ixowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+<ixow+ap
        GLOSS:	the+brother/brothers+[fem.sg.]

 INPUT STRING:	الاقباط
     IS_TRANS:	AlAqbAT
        INDEX:	P1W13
      OFFSETS:	73-80
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(Al>aqobAT)
          POS:	DET+NOUN
          VOC:	Al+>aqobAT
        GLOSS:	the+Copts

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W14
      OFFSETS:	81-83
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W15
      OFFSETS:	84-87
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P1W16
      OFFSETS:	88-93
       TOKENS:	P1W21-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
