 INPUT STRING:	افتحوا
     IS_TRANS:	AftHwA
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(AifotaHuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	AifotaH+uwA
        GLOSS:	open/conquer/be opened/be conquered+you

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P1W2
      OFFSETS:	7-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	were/was/be+it/they/she

 INPUT STRING:	الحياه
     IS_TRANS:	AlHyAh
        INDEX:	P1W3
      OFFSETS:	12-18
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN_PROP
          VOC:	Al+HayAp
        GLOSS:	the+Hayat

 INPUT STRING:	شوفو
     IS_TRANS:	$wfw
        INDEX:	P1W4
      OFFSETS:	19-23
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	$uwf+uwA
        GLOSS:	look+you

 INPUT STRING:	معتز
     IS_TRANS:	mEtz
        INDEX:	P1W5
      OFFSETS:	24-28
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotaz~_1]
   UNSPLITVOC:	(muEotaz~)
          POS:	NOUN_PROP
          VOC:	muEotaz~
        GLOSS:	Mu'tazz

 INPUT STRING:	الدمرداش
     IS_TRANS:	AldmrdA$
        INDEX:	P1W6
      OFFSETS:	29-37
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[damarodA$_1]
   UNSPLITVOC:	(AldamarodA$)
          POS:	DET+NOUN_PROP
          VOC:	Al+damarodA$
        GLOSS:	the+Demerdash/Damardash

 INPUT STRING:	وسكان
     IS_TRANS:	wskAn
        INDEX:	P1W7
      OFFSETS:	38-43
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(wisuk~An)
          POS:	CONJ+NOUN
          VOC:	wi+suk~An
        GLOSS:	and+residents/inhabitants

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P1W8
      OFFSETS:	44-51
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	وبيوتهم
     IS_TRANS:	wbywthm
        INDEX:	P1W9
      OFFSETS:	52-59
       TOKENS:	P1W10-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(wabiyuwthum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wa+biyuwt+hum
        GLOSS:	and+house/houses/verse/verses+their

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P1W10
      OFFSETS:	60-64
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
