 INPUT STRING:	أشوفكم
     IS_TRANS:	>$wfkm
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwfkum)
          POS:	IV1S+IV+IVSUFF_DO:2P
          VOC:	Aa+$uwf+kum
        GLOSS:	I+look+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W2
      OFFSETS:	7-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P1W3
      OFFSETS:	11-14
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(xiyr)
          POS:	NOUN
          VOC:	xiyr
        GLOSS:	good

 INPUT STRING:	سلامي
     IS_TRANS:	slAmy
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	salAm+iy
        GLOSS:	peace/greeting/salute/salutation/greetings/salutations/anthem/song+my

 INPUT STRING:	لدودو
     IS_TRANS:	ldwdw
        INDEX:	P2W2
      OFFSETS:	6-11
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwduw_1]
   UNSPLITVOC:	(liduwduw)
          POS:	PREP+NOUN_PROP
          VOC:	li+duwduw
        GLOSS:	for/to+Dudu

 INPUT STRING:	وحتوحشوني
     IS_TRANS:	wHtwH$wny
        INDEX:	P2W3
      OFFSETS:	12-21
       TOKENS:	P2W5-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHa$_1]
   UNSPLITVOC:	(wiHatiwoHa$uwniy)
          POS:	CONJ+FUT_PART+IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1S
          VOC:	wi+Ha+ti+woHa$+uwA+niy
        GLOSS:	and+will+you+be missed+[pl.]+me

 INPUT STRING:	بأقول
     IS_TRANS:	b>qwl
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P3W2
      OFFSETS:	6-8
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P3W3
      OFFSETS:	9-12
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W4
      OFFSETS:	12-13
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	زيزو
     IS_TRANS:	zyzw
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ziyzuw_1]
   UNSPLITVOC:	(ziyzuw)
          POS:	NOUN_PROP
          VOC:	ziyzuw
        GLOSS:	Zizo

 INPUT STRING:	نجح
     IS_TRANS:	njH
        INDEX:	P4W2
      OFFSETS:	5-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nijiH_1]
   UNSPLITVOC:	(nijiH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nijiH+(null)
        GLOSS:	succeed/make successful/become expert/successful/pass+he/it

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P4W3
      OFFSETS:	9-14
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P4W4
      OFFSETS:	15-18
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	أحمدك
     IS_TRANS:	>Hmdk
        INDEX:	P4W5
      OFFSETS:	19-24
       TOKENS:	P4W6-P4W7
