 INPUT STRING:	عامله
     IS_TRANS:	EAmlh
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	doing/working+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P1W2
      OFFSETS:	6-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	سادع
     IS_TRANS:	sAdE
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(sAdE)
          POS:	TYPO
          VOC:	sAdE
        GLOSS:	nogloss

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousands/thousand/thounsand/one thousand

 INPUT STRING:	سلامه
     IS_TRANS:	slAmh
        INDEX:	P3W2
      OFFSETS:	4-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(salAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	salAm+ap
        GLOSS:	security/safety/integrity+[fem.sg.]

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P3W3
      OFFSETS:	10-15
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyki)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	خدي
     IS_TRANS:	xdy
        INDEX:	P3W4
      OFFSETS:	16-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(xudiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	xud+iy
        GLOSS:	I/take+you

 INPUT STRING:	بندول
     IS_TRANS:	bndwl
        INDEX:	P3W5
      OFFSETS:	20-25
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[banaduwl_1]
   UNSPLITVOC:	(banaduwl)
          POS:	NOUN_PROP
          VOC:	banaduwl
        GLOSS:	banaduul

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P4W2
      OFFSETS:	5-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	menafadaly
     IS_TRANS:	menafadaly
        INDEX:	P4W3
      OFFSETS:	9-19
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(menafadaly)
          POS:	TRANSLIT_ERR
          VOC:	menafadaly
        GLOSS:	menafadaly

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P4W4
      OFFSETS:	20-22
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha_1]
   UNSPLITVOC:	(hh)
          POS:	INTERJ
          VOC:	hh
        GLOSS:	laughing

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	INTERROG_PRON
          VOC:	min
        GLOSS:	who

 INPUT STRING:	هاخد
     IS_TRANS:	hAxd
        INDEX:	P5W2
      OFFSETS:	3-7
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(HaAaxud)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+xud
        GLOSS:	will+I+I/take

 INPUT STRING:	دوا
     IS_TRANS:	dwA
        INDEX:	P5W3
      OFFSETS:	8-11
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawA_1]
   UNSPLITVOC:	(dawA)
          POS:	NOUN
          VOC:	dawA
        GLOSS:	medicine

 INPUT STRING:	دلوقتي
     IS_TRANS:	dlwqty
        INDEX:	P5W4
      OFFSETS:	12-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P6W2
      OFFSETS:	4-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P6W3
      OFFSETS:	9-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P7W2
      OFFSETS:	3-8
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by/with+Allah/God

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P7W3
      OFFSETS:	9-13
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	NOUN
          VOC:	xAliS
        GLOSS:	pure/clear/sincere/very/absolutely

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P7W4
      OFFSETS:	14-17
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P7W5
      OFFSETS:	18-21
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	قفله
     IS_TRANS:	qflh
        INDEX:	P7W6
      OFFSETS:	22-26
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAfil_1]
   UNSPLITVOC:	(qaflap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qafl+ap
        GLOSS:	closing+[fem.sg]

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P7W7
      OFFSETS:	27-29
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	وهتسبب
     IS_TRANS:	whtsbb
        INDEX:	P7W8
      OFFSETS:	30-36
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(whtsbb)
          POS:	TYPO
          VOC:	whtsbb
        GLOSS:	nogloss

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P7W9
      OFFSETS:	37-41
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P7W10
      OFFSETS:	42-45
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet/still

 INPUT STRING:	فاتحه
     IS_TRANS:	fAtHh
        INDEX:	P7W11
      OFFSETS:	46-51
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAtiH_1]
   UNSPLITVOC:	(fAtoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAtoH+ap
        GLOSS:	opener/opening/clear (color)+[fem.sg.]

 INPUT STRING:	دلوقتي
     IS_TRANS:	dlwqty
        INDEX:	P7W12
      OFFSETS:	52-58
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	كلمتك
     IS_TRANS:	klmtk
        INDEX:	P8W2
      OFFSETS:	4-9
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtik)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:2FS
          VOC:	kal~im+t+ik
        GLOSS:	talk/speak/talk to+I+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W3
      OFFSETS:	10-12
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P8W4
      OFFSETS:	13-18
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yuwmiyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	yuwm+ayn
        GLOSS:	today/day/some day/ever/days+two

 INPUT STRING:	مردتش
     IS_TRANS:	mrdt$
        INDEX:	P8W5
      OFFSETS:	19-24
       TOKENS:	P8W6-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(mArad~it$)
