 INPUT STRING:	عرفت
     IS_TRANS:	Erft
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(Eirift)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eirif+t
        GLOSS:	know+I

 INPUT STRING:	دلوقت
     IS_TRANS:	dlwqt
        INDEX:	P1W2
      OFFSETS:	5-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqot_1]
   UNSPLITVOC:	(dilowaqot)
          POS:	ADV
          VOC:	dilowaqot
        GLOSS:	at this moment/now/at present

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P1W3
      OFFSETS:	11-17
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEodiyn_1]
   UNSPLITVOC:	(wibaEodiyn)
          POS:	CONJ+ADV
          VOC:	wi+baEodiyn
        GLOSS:	and+then

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W4
      OFFSETS:	18-20
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	بينزل
     IS_TRANS:	bynzl
        INDEX:	P1W5
      OFFSETS:	21-26
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(biyinozil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+nozil
        GLOSS:	[present-tense]+he/it+descend/come/desend/stay

 INPUT STRING:	باسمه
     IS_TRANS:	bAsmh
        INDEX:	P1W6
      OFFSETS:	27-32
       TOKENS:	P1W8-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(biAisomuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+Aisom+uh
        GLOSS:	with/by+name/names+his/its

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بالضبط
     IS_TRANS:	bAlDbT
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaboT_1]
   UNSPLITVOC:	(biAlDaboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+DaboT
        GLOSS:	with/by+the+adjusting/regulating/precision/seizure/confiscation

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P3W2
      OFFSETS:	7-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W3
      OFFSETS:	11-13
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	خالتي
     IS_TRANS:	xAlty
        INDEX:	P3W4
      OFFSETS:	14-19
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlap_1]
   UNSPLITVOC:	(xAltiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	xAl+ap+iy
        GLOSS:	maternal aunt/maternal aunts+[fem.sg.]+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W5
      OFFSETS:	20-23
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P3W6
      OFFSETS:	24-28
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P3W7
      OFFSETS:	29-32
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P3W8
      OFFSETS:	33-36
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P3W9
      OFFSETS:	37-38
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

