 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	قمرية
     IS_TRANS:	qmryp
        INDEX:	P1W2
      OFFSETS:	4-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qamariy~_1]
   UNSPLITVOC:	(qamariy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qamariy~+ap
        GLOSS:	lunar/moon+[fem.sg.]

 INPUT STRING:	سعيدة
     IS_TRANS:	sEydp
        INDEX:	P1W3
      OFFSETS:	10-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	saEiyd+ap
        GLOSS:	happy+[fem.sg.]

 INPUT STRING:	شريفة
     IS_TRANS:	$ryfp
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyf_1]
   UNSPLITVOC:	($ariyfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$ariyf+ap
        GLOSS:	noble/honorable/respectable+[fem.sg.]

 INPUT STRING:	عزيزة
     IS_TRANS:	Ezyzp
        INDEX:	P2W2
      OFFSETS:	6-11
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaziyz_1]
   UNSPLITVOC:	(Eaziyzap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eaziyz+ap
        GLOSS:	dear/precious+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W3
      OFFSETS:	12-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

