 INPUT STRING:	جاتلها
     IS_TRANS:	jAtlhA
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(jAtlahA)
          POS:	PV+PVSUFF_SUBJ:3FS+PREP+PRON_3FS
          VOC:	jA+t+li+hA
        GLOSS:	come+it/they/she+to/for+it/them/her

 INPUT STRING:	الصفرة
     IS_TRANS:	AlSfrp
        INDEX:	P1W2
      OFFSETS:	7-13
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saforap_1]
   UNSPLITVOC:	(AlSaforap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Safor+ap
        GLOSS:	the+whistle/whistles/disease/bile+[fem.sg.]

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P1W3
      OFFSETS:	14-20
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W4
      OFFSETS:	21-22
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	حطوها
     IS_TRANS:	HTwhA
        INDEX:	P1W5
      OFFSETS:	23-28
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HaT~uwhA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3FS
          VOC:	HaT~+uwA+hA
        GLOSS:	descend/land/set down/lower+they+it/them/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W6
      OFFSETS:	29-31
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
