 INPUT STRING:	وريني
     IS_TRANS:	wryny
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[war~aY_1]
   UNSPLITVOC:	(war~iyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	war~+iy+niy
        GLOSS:	stoke/kindle/conceal/feign/be stoked/be kindled/be concealed/be feigned+you+me

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P1W2
      OFFSETS:	6-9
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	sweet/pleasant

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P3W2
      OFFSETS:	3-10
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAlnisobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+ratio/rate/percentage figure/ratios/rates/percentage figures/link/relation (concerning+[fem.sg.]

 INPUT STRING:	للشاعر
     IS_TRANS:	ll$AEr
        INDEX:	P3W3
      OFFSETS:	11-17
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEor_1]
   UNSPLITVOC:	(lil$aEor)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$aEor
        GLOSS:	for/to+the+hair

 INPUT STRING:	هاهاهاها
     IS_TRANS:	hAhAhAhA
        INDEX:	P4W1
      OFFSETS:	0-8
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAhA_1]
   UNSPLITVOC:	(hAhA)
          POS:	INTERJ
          VOC:	hAhA
        GLOSS:	express laugh

 INPUT STRING:	ندا
     IS_TRANS:	ndA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadA_1]
   UNSPLITVOC:	(nadA)
          POS:	NOUN_PROP
          VOC:	nadA
        GLOSS:	Nada

 INPUT STRING:	فلز
     IS_TRANS:	flz
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(flz)
          POS:	FOREIGN
          VOC:	flz
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W2
      OFFSETS:	4-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كصاحبتك
     IS_TRANS:	kSAHbtk
        INDEX:	P6W3
      OFFSETS:	8-15
       TOKENS:	P6W3-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHobap_1]
   UNSPLITVOC:	(kaSAHobitik)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	ka+SAHob+ap+ik
        GLOSS:	like/such+friend+[fem.sg.]+your

 INPUT STRING:	وقعت
     IS_TRANS:	wqEt
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqiE_1]
   UNSPLITVOC:	(wiqiEt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	wiqiE+t
        GLOSS:	fall+I

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P7W2
      OFFSETS:	5-9
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P8W2
      OFFSETS:	5-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P8W3
      OFFSETS:	10-14
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P8W4
      OFFSETS:	15-19
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealay~A)
          POS:	PREP+PRON_1S
          VOC:	EalaY+iy
        GLOSS:	on/above+I/me

 INPUT STRING:	وأقولك
     IS_TRANS:	w>qwlk
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiAaquwlik)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2FS
          VOC:	wi+Aa+quwl+ik
        GLOSS:	and+I+said/say/be said/(for example)+you

 INPUT STRING:	فلز
     IS_TRANS:	flz
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(flz)
          POS:	FOREIGN
          VOC:	flz
        GLOSS:	nogloss

 INPUT STRING:	إوعي
     IS_TRANS:	<wEy
        INDEX:	P10W2
      OFFSETS:	4-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(>uwEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	>uwE+iy
        GLOSS:	be aware of/pay attention to/be paid attention to+you

 INPUT STRING:	تعملي
     IS_TRANS:	tEmly
        INDEX:	P10W3
      OFFSETS:	9-14
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(tiEomiliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Eomil+iy
        GLOSS:	you+function/make/act/do+you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P10W4
      OFFSETS:	15-18
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	express laugh

