 INPUT STRING:	مي
     IS_TRANS:	my
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~_1]
   UNSPLITVOC:	(may~)
          POS:	NOUN_PROP
          VOC:	may~
        GLOSS:	Mayy

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W2
      OFFSETS:	3-5
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	البابا
     IS_TRANS:	AlbAbA
        INDEX:	P1W3
      OFFSETS:	6-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAb~A_1]
   UNSPLITVOC:	(AlbAb~A)
          POS:	DET+NOUN
          VOC:	Al+bAb~A
        GLOSS:	the+Pope/daddy/father

 INPUT STRING:	غنوج
     IS_TRANS:	gnwj
        INDEX:	P1W4
      OFFSETS:	13-17
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gan~uwj_1]
   UNSPLITVOC:	(gan~uwj)
          POS:	NOUN
          VOC:	gan~uwj
        GLOSS:	ghannouj (in baba ghannouj/eggplant dish)

 INPUT STRING:	بتشويه
     IS_TRANS:	bt$wyh
        INDEX:	P1W5
      OFFSETS:	18-24
       TOKENS:	P1W5-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$AwaY_1]
   UNSPLITVOC:	(biti$iwiyh)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS
          VOC:	bi+ti+$iw+iy+h
        GLOSS:	[present-tense]+you+grill+you+it/him

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P1W6
      OFFSETS:	25-29
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iz~Ay_1]
   UNSPLITVOC:	(<iz~Ay)
          POS:	NOUN
          VOC:	<iz~Ay
        GLOSS:	how

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	بتشويه
     IS_TRANS:	bt$wyh
        INDEX:	P2W2
      OFFSETS:	5-11
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bt$wyh)
          POS:	NO_FUNC
          VOC:	bt$wyh
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W3
      OFFSETS:	12-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القرن
     IS_TRANS:	Alqrn
        INDEX:	P2W4
      OFFSETS:	15-20
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaron_1]
   UNSPLITVOC:	(Alqaron)
