 INPUT STRING:	تسمع
     IS_TRANS:	tsmE
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(tisomaE)
          POS:	IV2MS+IV
          VOC:	ti+somaE
        GLOSS:	you+listen/hear

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	مالك
     IS_TRANS:	mAlk
        INDEX:	P1W3
      OFFSETS:	8-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAlik_1]
   UNSPLITVOC:	(mAlik)
          POS:	NOUN_PROP
          VOC:	mAlik
        GLOSS:	malik

 INPUT STRING:	جندلي
     IS_TRANS:	jndly
        INDEX:	P1W4
      OFFSETS:	13-18
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[junduliy_1]
   UNSPLITVOC:	(junduliy)
          POS:	NOUN_PROP
          VOC:	junduliy
        GLOSS:	gondily

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W5
      OFFSETS:	18-19
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الشم
     IS_TRANS:	Al$m
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$am~_1]
   UNSPLITVOC:	(Al$am~)
          POS:	DET+NOUN
          VOC:	Al+$am~
        GLOSS:	the+smelling/sniffing/sense of smell

 INPUT STRING:	وأهل
     IS_TRANS:	w>hl
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(wi>ahol)
          POS:	CONJ+NOUN
          VOC:	wi+>ahol
        GLOSS:	and+family/people/families/folk/indigenous people/qualified/welcome!

 INPUT STRING:	الشم
     IS_TRANS:	Al$m
        INDEX:	P2W3
      OFFSETS:	10-14
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$am~_1]
   UNSPLITVOC:	(Al$am~)
          POS:	DET+NOUN
          VOC:	Al+$am~
        GLOSS:	the+smelling/sniffing/sense of smell

 INPUT STRING:	بلديات
     IS_TRANS:	bldyAt
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W1
