 INPUT STRING:	راز
     IS_TRANS:	rAz
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAz_1]
   UNSPLITVOC:	(rAz)
          POS:	NOUN_PROP
          VOC:	rAz
        GLOSS:	Raz

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P1W2
      OFFSETS:	4-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	سكاكين
     IS_TRANS:	skAkyn
        INDEX:	P1W3
      OFFSETS:	10-16
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sik~iyn_1]
   UNSPLITVOC:	(sakAkiyn)
          POS:	NOUN
          VOC:	sakAkiyn
        GLOSS:	knife/knives

 INPUT STRING:	وعاوزة
     IS_TRANS:	wEAwzp
        INDEX:	P1W4
      OFFSETS:	17-23
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(wiEAwozap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+EAwoz+ap
        GLOSS:	and+wanting/needing+[fem.sg.]

 INPUT STRING:	أطقم
     IS_TRANS:	>Tqm
        INDEX:	P1W5
      OFFSETS:	24-28
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Taqom_1]
   UNSPLITVOC:	(>aToqum)
          POS:	NOUN
          VOC:	>aToqum
        GLOSS:	series/sets

 INPUT STRING:	ثلاجة
     IS_TRANS:	vlAjp
        INDEX:	P1W6
      OFFSETS:	29-34
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[val~Ajap_1]
   UNSPLITVOC:	(val~Ajap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	val~Aj+ap
        GLOSS:	refrigerator/icebox+[fem.sg.]

 INPUT STRING:	وشواية
     IS_TRANS:	w$wAyp
        INDEX:	P1W7
      OFFSETS:	35-41
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aw~Ayap_1]
   UNSPLITVOC:	(wi$aw~Ayap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+$aw~Ay+ap
        GLOSS:	and+grill/gridiron+[fem.sg.]

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	تنزلي
     IS_TRANS:	tnzly
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(tinoziliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+nozil+iy
        GLOSS:	you+descend/come/desend/stay+you

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
