 INPUT STRING:	أحلى
     IS_TRANS:	>HlY
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHolaY_1]
   UNSPLITVOC:	(>aHolaY)
          POS:	ADJ_COMP
          VOC:	>aHolaY
        GLOSS:	more sweet

 INPUT STRING:	شفتي
     IS_TRANS:	$fty
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uftiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	$uf+tiy
        GLOSS:	look+you

 INPUT STRING:	القطة
     IS_TRANS:	AlqTp
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quT~ap_1]
   UNSPLITVOC:	(AlquT~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quT~+ap
        GLOSS:	the+cats+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W3
      OFFSETS:	10-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	اوشة
     IS_TRANS:	Aw$p
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uw$ap_1]
   UNSPLITVOC:	(>uw$ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	>uw$+ap
        GLOSS:	Osha+[fem.sg.]

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	become/begin/start/be/begin a new day+it/they/she

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P4W2
      OFFSETS:	4-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P4W3
      OFFSETS:	7-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	become/begin/start/be/begin a new day+it/they/she

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P4W4
      OFFSETS:	11-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P4W5
      OFFSETS:	14-18
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	قطة
     IS_TRANS:	qTp
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quT~ap_1]
   UNSPLITVOC:	(quT~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quT~+ap
        GLOSS:	cats+[fem.sg.]

 INPUT STRING:	كبيرة
     IS_TRANS:	kbyrp
        INDEX:	P5W2
      OFFSETS:	4-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	senior/major/large/big/important/great+[fem.sg.]

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	باين
     IS_TRANS:	bAyn
        INDEX:	P6W2
      OFFSETS:	2-6
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAyin_1]
   UNSPLITVOC:	(bAyin)
          POS:	ADJ
          VOC:	bAyin
        GLOSS:	evident/plain

 INPUT STRING:	إنها
     IS_TRANS:	<nhA
        INDEX:	P6W3
      OFFSETS:	7-11
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it/they

 INPUT STRING:	مسيطرة
     IS_TRANS:	msyTrp
        INDEX:	P6W4
      OFFSETS:	12-18
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[misayTar_1]
   UNSPLITVOC:	(misayTarap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	misayTar+ap
        GLOSS:	ruling/controlling+[fem.sg.]

 INPUT STRING:	ودي
     IS_TRANS:	wdy
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	and+this

 INPUT STRING:	بنتها
     IS_TRANS:	bnthA
        INDEX:	P7W2
      OFFSETS:	4-9
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	binot+hA
        GLOSS:	daughter/girl/daughters/girls+its/their/her

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	كبرت
     IS_TRANS:	kbrt
        INDEX:	P8W2
      OFFSETS:	3-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibir_1]
   UNSPLITVOC:	(kiborit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kibor+it
        GLOSS:	grow older/increase/augment/become large/become plump/magnify/amplify/grow+it/they/she

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P8W3
      OFFSETS:	8-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	وامها
     IS_TRANS:	wAmhA
        INDEX:	P8W4
      OFFSETS:	11-16
       TOKENS:	P8W4-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(wi>um~ahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+>um~+hA
        GLOSS:	and+mother/maternal/mothers+its/their/her

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P8W5
      OFFSETS:	17-19
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laughing

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الحاجات
     IS_TRANS:	AlHAjAt
        INDEX:	P9W2
      OFFSETS:	4-11
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+HAj+At
        GLOSS:	the+need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P9W3
      OFFSETS:	12-14
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ودي
     IS_TRANS:	wdy
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	and+this

 INPUT STRING:	بنتها
     IS_TRANS:	bnthA
        INDEX:	P10W2
      OFFSETS:	4-9
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	binot+hA
        GLOSS:	daughter/girl/daughters/girls+its/their/her

 INPUT STRING:	الصغبرة
     IS_TRANS:	AlSgbrp
        INDEX:	P10W3
      OFFSETS:	10-17
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlSgbrp)
          POS:	TYPO
          VOC:	AlSgbrp
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	خراشي
     IS_TRANS:	xrA$y
        INDEX:	P11W2
      OFFSETS:	3-8
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaraA$_1]
   UNSPLITVOC:	(xaraA$iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	xaraA$+iy
        GLOSS:	surprise+my

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الكاءنات
     IS_TRANS:	AlkA'nAt
        INDEX:	P12W2
      OFFSETS:	4-12
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlkA'nAt)
          POS:	TYPO
          VOC:	AlkA'nAt
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P12W3
      OFFSETS:	13-15
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

