 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	موجودة
     IS_TRANS:	mwjwdp
        INDEX:	P1W2
      OFFSETS:	5-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	شفتي
     IS_TRANS:	$fty
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uftiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	$uf+tiy
        GLOSS:	look+you

 INPUT STRING:	البلوز
     IS_TRANS:	Alblwz
        INDEX:	P2W2
      OFFSETS:	5-11
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[buluwz_1]
   UNSPLITVOC:	(Albuluwz)
          POS:	DET+NOUN
          VOC:	Al+buluwz
        GLOSS:	the+blouse

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P2W3
      OFFSETS:	12-16
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	أخدتها
     IS_TRANS:	>xdthA
        INDEX:	P2W4
      OFFSETS:	17-23
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(>axadtahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	>axad+t+hA
        GLOSS:	I/take+I+it/them/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W5
      OFFSETS:	24-26
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ميسو
     IS_TRANS:	mysw
        INDEX:	P2W6
      OFFSETS:	27-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miysuw_1]
   UNSPLITVOC:	(miysuw)
          POS:	NOUN_PROP
          VOC:	miysuw
        GLOSS:	Miso

 INPUT STRING:	لقيتها
     IS_TRANS:	lqythA
        INDEX:	P2W7
      OFFSETS:	32-38
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(laqaythA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	laq+ayt+hA
        GLOSS:	find/be found/exist/ascertain/come upon/modal of probability/encounter/discover+I+it/them/her

 INPUT STRING:	مملعة
     IS_TRANS:	mmlEp
        INDEX:	P2W8
      OFFSETS:	39-44
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mmlEp)
          POS:	TYPO
          VOC:	mmlEp
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W9
      OFFSETS:	45-46
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P3W2
      OFFSETS:	3-6
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_PRON
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P3W3
      OFFSETS:	7-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	رجعيها
     IS_TRANS:	rjEyhA
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajEa_1]
   UNSPLITVOC:	(rajEiyhA)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3FS
          VOC:	rajE+iy+hA
        GLOSS:	return+you+it/them/her

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P4W2
      OFFSETS:	7-9
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+him/it

 INPUT STRING:	أبعت
     IS_TRANS:	>bEt
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(AaboEat)
          POS:	IV1S+IV
          VOC:	Aa+boEat
        GLOSS:	I+send

 INPUT STRING:	لك
     IS_TRANS:	lk
