 INPUT STRING:	جهزوا
     IS_TRANS:	jhzwA
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(jhzwA)
          POS:	TYPO
          VOC:	jhzwA
        GLOSS:	nogloss

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P1W2
      OFFSETS:	6-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ly)
          POS:	TYPO
          VOC:	ly
        GLOSS:	nogloss

 INPUT STRING:	ويارا
     IS_TRANS:	wyArA
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yArA_1]
   UNSPLITVOC:	(wiyArA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+yArA
        GLOSS:	and+Yara

 INPUT STRING:	فركشوا
     IS_TRANS:	frk$wA
        INDEX:	P1W4
      OFFSETS:	15-21
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[farki$_1]
   UNSPLITVOC:	(farki$uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	farki$+uwA
        GLOSS:	finish+they

 INPUT STRING:	فركشوا
     IS_TRANS:	frk$wA
        INDEX:	P1W5
      OFFSETS:	22-28
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[farki$_1]
   UNSPLITVOC:	(farki$uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	farki$+uwA
        GLOSS:	finish+they

 INPUT STRING:	قلب
     IS_TRANS:	qlb
        INDEX:	P1W6
      OFFSETS:	29-32
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qlb)
          POS:	TYPO
          VOC:	qlb
        GLOSS:	nogloss

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P1W7
      OFFSETS:	33-35
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP
          VOC:	liy
        GLOSS:	to/for

 INPUT STRING:	نانا
     IS_TRANS:	nAnA
        INDEX:	P1W8
      OFFSETS:	36-40
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAnA_1]
   UNSPLITVOC:	(nAnA)
          POS:	NOUN_PROP
          VOC:	nAnA
        GLOSS:	Nana

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	عيش
     IS_TRANS:	Ey$
        INDEX:	P2W2
      OFFSETS:	6-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eiy$_1]
   UNSPLITVOC:	(Eiy$)
          POS:	NOUN
          VOC:	Eay$
        GLOSS:	bread

 INPUT STRING:	بوري
     IS_TRANS:	bwry
        INDEX:	P2W3
      OFFSETS:	10-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwriy_1]
   UNSPLITVOC:	(buwriy)
          POS:	NOUN
          VOC:	buwriy
        GLOSS:	bugle/signal horn

 INPUT STRING:	وطعمية
     IS_TRANS:	wTEmyp
        INDEX:	P2W4
      OFFSETS:	15-21
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaEomiy~ap_1]
   UNSPLITVOC:	(wiTaEomiy~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+TaEomiy~+ap
