 INPUT STRING:	مرحبًا
     IS_TRANS:	mrHbFA
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maroHab_1]
   UNSPLITVOC:	(maroHabAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maroHab+AF
        GLOSS:	welcome+[acc.indef.]

 INPUT STRING:	أومنياي
     IS_TRANS:	>wmnyAy
        INDEX:	P1W2
      OFFSETS:	7-14
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwmoniyAY_1]
   UNSPLITVOC:	(>uwmoniyAY)
          POS:	NOUN_PROP
          VOC:	>uwmoniyAY
        GLOSS:	Omneya

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P1W3
      OFFSETS:	14-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	أريد
     IS_TRANS:	>ryd
        INDEX:	P1W4
      OFFSETS:	16-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Arad_1]
   UNSPLITVOC:	(Auwriyd)
          POS:	IV1S+IV
          VOC:	Auw+riyd
        GLOSS:	I+want

 INPUT STRING:	إضافتك
     IS_TRANS:	<DAftk
        INDEX:	P1W5
      OFFSETS:	21-27
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iDAfap_1]
   UNSPLITVOC:	(<iDAfatik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	<iDAf+ap+ik
        GLOSS:	addition/appending+[fem.sg.]+your

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W6
      OFFSETS:	28-31
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	سكيب
     IS_TRANS:	skyb
        INDEX:	P1W7
      OFFSETS:	32-36
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[skyb_1]
   UNSPLITVOC:	(skyb)
          POS:	NOUN_PROP
          VOC:	skyb
        GLOSS:	skype

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W8
      OFFSETS:	36-37
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P1W9
      OFFSETS:	38-41
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mrp)
          POS:	TYPO
          VOC:	mrp
        GLOSS:	nogloss

 INPUT STRING:	شعبان
     IS_TRANS:	$EbAn
        INDEX:	P1W10
      OFFSETS:	42-47
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEobAn_1]
   UNSPLITVOC:	($aEobAn)
          POS:	NOUN_PROP
          VOC:	$aEobAn
        GLOSS:	shaban

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	VERB
          VOC:	yal~A
        GLOSS:	let us

 INPUT STRING:	أبعتي
     IS_TRANS:	>bEty
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(AiboEatiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AiboEat+iy
        GLOSS:	send+you

 INPUT STRING:	جاه
     IS_TRANS:	jAh
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA+(null)
        GLOSS:	occur/came/come/reach/arrive+he/it

 INPUT STRING:	؛
     IS_TRANS:	&#x61b;
        INDEX:	P3W2
      OFFSETS:	3-4
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(;)
          POS:	PUNC
          VOC:	;
        GLOSS:	nogloss

 INPUT STRING:	تك
     IS_TRANS:	tk
        INDEX:	P3W3
      OFFSETS:	5-7
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tk)
          POS:	TYPO
          VOC:	tk
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W4
      OFFSETS:	8-9
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	جحجغجفغدفجد
     IS_TRANS:	jHjgjfgdfjd
        INDEX:	P3W5
      OFFSETS:	9-20
       TOKENS:	P3W5-P3W5
