 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	الليل
     IS_TRANS:	Allyl
        INDEX:	P1W2
      OFFSETS:	4-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layl_1]
   UNSPLITVOC:	(Allayl)
          POS:	DET+NOUN
          VOC:	Al+layl
        GLOSS:	the+night/nighttime/at night/by night

 INPUT STRING:	مستني
     IS_TRANS:	mstny
        INDEX:	P1W3
      OFFSETS:	10-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(misotan~iy)
          POS:	ADJ
          VOC:	misotan~iy
        GLOSS:	waiting/anticipating

 INPUT STRING:	تليفونك
     IS_TRANS:	tlyfwnk
        INDEX:	P1W4
      OFFSETS:	16-23
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiliyfawn_1]
   UNSPLITVOC:	(tiliyfawnik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	tiliyfawn+ik
        GLOSS:	telephone+your

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نمتش
     IS_TRANS:	nmt$
        INDEX:	P2W2
      OFFSETS:	3-7
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nimti$)
          POS:	PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	nim+t+$
