 INPUT STRING:	سامحيني
     IS_TRANS:	sAmHyny
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAmiH_1]
   UNSPLITVOC:	(sAmoHiyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	sAmoH+iy+niy
        GLOSS:	treat kindly/forgive/pardon+you+me

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W2
      OFFSETS:	8-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كنتش
     IS_TRANS:	knt$
        INDEX:	P1W3
      OFFSETS:	11-15
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunti$)
          POS:	PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	kun+t+$
        GLOSS:	be/was/were+I+not

 INPUT STRING:	فاضية
     IS_TRANS:	fADyp
        INDEX:	P1W4
      OFFSETS:	16-21
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADiy_1]
   UNSPLITVOC:	(fADoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fADoy+ap
        GLOSS:	empty/unoccupied/free+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1W5
      OFFSETS:	22-24
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P1W6
      OFFSETS:	25-30
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	دايما
     IS_TRANS:	dAymA
        INDEX:	P1W7
      OFFSETS:	31-36
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dAy}im_1]
   UNSPLITVOC:	(dAyomAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	dAyom+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	فبالي
     IS_TRANS:	fbAly
        INDEX:	P1W8
      OFFSETS:	37-42
       TOKENS:	P1W11-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(fiybAliy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	fiy+bAl+iy
        GLOSS:	in+mind/attention/whale+my

 INPUT STRING:	ونفسي
     IS_TRANS:	wnfsy
        INDEX:	P1W9
      OFFSETS:	43-48
       TOKENS:	P1W14-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(winifosiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+nifos+iy
        GLOSS:	and+appetite/wish+my

 INPUT STRING:	أغمض
     IS_TRANS:	>gmD
        INDEX:	P1W10
      OFFSETS:	49-53
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gam~aD_1]
   UNSPLITVOC:	(Aagm~aD)
