 INPUT STRING:	بست
     IS_TRANS:	bst
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bst)
          POS:	FOREIGN
          VOC:	bst
        GLOSS:	nogloss

 INPUT STRING:	إزيك
     IS_TRANS:	<zyk
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiz~ay_1]
   UNSPLITVOC:	(Aiz~ay~ak)
          POS:	INTERROG_ADV+PRON_2MS
          VOC:	Aiz~ay~+ak
        GLOSS:	how+you

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P2W3
      OFFSETS:	10-13
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	وإيه
     IS_TRANS:	w<yh
        INDEX:	P2W4
      OFFSETS:	14-18
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(wi<iyh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+<iyh
        GLOSS:	and+what

 INPUT STRING:	أخبارك
     IS_TRANS:	>xbArk
        INDEX:	P2W5
      OFFSETS:	19-25
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
