 INPUT STRING:	جيد
     IS_TRANS:	jyd
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay~id_1]
   UNSPLITVOC:	(jay~id)
          POS:	ADJ
          VOC:	jay~id
        GLOSS:	good/well

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P2W2
      OFFSETS:	3-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W3
      OFFSETS:	9-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P2W4
      OFFSETS:	14-17
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	خايفة
     IS_TRANS:	xAyfp
        INDEX:	P2W5
      OFFSETS:	18-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	xAyof+ap
        GLOSS:	frightened/fearful/afraid+[fem.sg.]

 INPUT STRING:	اشيل
     IS_TRANS:	A$yl
        INDEX:	P2W6
      OFFSETS:	24-28
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	(Aa$iyl)
          POS:	IV1S+IV
          VOC:	Aa+$iyl
        GLOSS:	I+carry/lift

 INPUT STRING:	اشيل
     IS_TRANS:	A$yl
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	(Aa$iyl)
          POS:	IV1S+IV
          VOC:	Aa+$iyl
        GLOSS:	I+carry/lift

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	let's

 INPUT STRING:	نحتفل
     IS_TRANS:	nHtfl
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotafal_1]
   UNSPLITVOC:	(niHotifil)
          POS:	IV1P+IV
          VOC:	ni+Hotifil
        GLOSS:	we+celebrate

 INPUT STRING:	إمتى
     IS_TRANS:	<mtY
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	حنعمل
     IS_TRANS:	HnEml
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HaniEomil)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Eomil
        GLOSS:	will+we+function/make/act/do

 INPUT STRING:	كوبكاكيس
     IS_TRANS:	kwbkAkys
        INDEX:	P5W3
      OFFSETS:	11-19
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwbkAkys)
          POS:	FOREIGN
          VOC:	kwbkAkys
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
