 INPUT STRING:	دودو
     IS_TRANS:	dwdw
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwduw_1]
   UNSPLITVOC:	(duwduw)
          POS:	NOUN_PROP
          VOC:	duwduw
        GLOSS:	Dudu

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	working/operating+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P2W2
      OFFSETS:	6-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	انهاردة
     IS_TRANS:	AnhArdp
        INDEX:	P2W3
      OFFSETS:	10-17
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ain~ahArodap_1]
   UNSPLITVOC:	(Ain~ahArodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ain~ahArod+ap
        GLOSS:	today+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W4
      OFFSETS:	17-18
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	وكنزي
     IS_TRANS:	wknzy
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kinoziy_1]
   UNSPLITVOC:	(wikinoziy)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+kinoziy
        GLOSS:	and+Kinzy

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	working/operating+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P3W3
      OFFSETS:	12-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W4
      OFFSETS:	15-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	منمن
     IS_TRANS:	mnmn
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munmun_1]
   UNSPLITVOC:	(munmun)
          POS:	NOUN_PROP
          VOC:	munmun
        GLOSS:	Monmon

 INPUT STRING:	عملتي
     IS_TRANS:	Emlty
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	Eamal+tiy
        GLOSS:	function/make/act/do+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P5W2
      OFFSETS:	6-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

