 INPUT STRING:	ندا
     IS_TRANS:	ndA
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadA_1]
   UNSPLITVOC:	(nadA)
          POS:	NOUN_PROP
          VOC:	nadA
        GLOSS:	Nada

 INPUT STRING:	ماتنسيش
     IS_TRANS:	mAtnsy$
        INDEX:	P1W2
      OFFSETS:	4-11
       TOKENS:	P1W2-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(mA_tinosiy$)
          POS:	NEG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+ti+nos+iy+$
        GLOSS:	not+you+forget/forgot+you+not

 INPUT STRING:	ميعادنا
     IS_TRANS:	myEAdnA
        INDEX:	P1W3
      OFFSETS:	12-19
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mayEAd_1]
   UNSPLITVOC:	(mayEAdinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	mayEAd+nA
        GLOSS:	time of death/appointment/date/rendezvous/dates/appointed time/time/period+our

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P1W4
      OFFSETS:	20-24
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P1W5
      OFFSETS:	25-27
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P1W6
      OFFSETS:	28-31
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P1W7
      OFFSETS:	32-36
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P1W8
      OFFSETS:	37-38
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P2W2
      OFFSETS:	5-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	مروة
     IS_TRANS:	mrwp
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marowap_1]
   UNSPLITVOC:	(marowap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	marow+ap
        GLOSS:	Marwa+[fem.sg.]

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P3W3
      OFFSETS:	11-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W4
      OFFSETS:	13-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	تعالي
     IS_TRANS:	tEAly
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAlay_1]
   UNSPLITVOC:	(taEAliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	taEAl+iy
        GLOSS:	come/be high/be raised/be exalted+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W2
      OFFSETS:	6-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P4W3
      OFFSETS:	10-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P4W4
      OFFSETS:	14-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P4W5
      OFFSETS:	18-19
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	استفرد
     IS_TRANS:	Astfrd
        INDEX:	P4W6
      OFFSETS:	20-26
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Yisotaforad_1]
   UNSPLITVOC:	(Aasotaforad)
          POS:	IV1S+IV
          VOC:	Aa+sotaforad
        GLOSS:	I+be alone with

 INPUT STRING:	بكى
     IS_TRANS:	bkY
        INDEX:	P4W7
      OFFSETS:	27-30
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biki)
          POS:	PREP+PRON_2FS
          VOC:	bi+ik
        GLOSS:	with+you [fem.sg.]

 INPUT STRING:	حبة
     IS_TRANS:	Hbp
        INDEX:	P4W8
      OFFSETS:	31-34
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~ap_1]
   UNSPLITVOC:	(Hab~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hab~+ap
        GLOSS:	small quantity/small amount+[fem.sg.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P4W9
      OFFSETS:	35-38
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W10
      OFFSETS:	39-41
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	يجوا
     IS_TRANS:	yjwA
        INDEX:	P4W11
      OFFSETS:	42-46
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(yijuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+j+uwA
        GLOSS:	they+came/come+we

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P4W12
      OFFSETS:	47-51
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~hum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/entire/every/whole+their

 INPUT STRING:	اشطة
     IS_TRANS:	A$Tp
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qi$oTap_1]
   UNSPLITVOC:	(qi$oTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qi$oT+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	بتخلصي
     IS_TRANS:	btxlSy
        INDEX:	P5W3
      OFFSETS:	10-16
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(btxlSy)
          POS:	NO_FUNC
          VOC:	btxlSy
        GLOSS:	nogloss

 INPUT STRING:	إمتى
     IS_TRANS:	<mtY
        INDEX:	P5W4
      OFFSETS:	17-21
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	يأس
     IS_TRANS:	y>s
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(y>s)
          POS:	FOREIGN
          VOC:	y>s
        GLOSS:	nogloss

 INPUT STRING:	ومنار
     IS_TRANS:	wmnAr
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manAr_1]
   UNSPLITVOC:	(wimanAr)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+manAr
        GLOSS:	and+Manar

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W3
      OFFSETS:	10-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كلمتها
     IS_TRANS:	klmthA
        INDEX:	P6W4
      OFFSETS:	14-20
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	kal~im+t+hA
        GLOSS:	talk/speak/talk to+I+it/them/her

 INPUT STRING:	أدى
     IS_TRANS:	>dY
        INDEX:	P6W5
      OFFSETS:	21-24
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>dY)
          POS:	FOREIGN
          VOC:	>dY
        GLOSS:	nogloss

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	بطيق
     IS_TRANS:	bTyq
        INDEX:	P7W2
      OFFSETS:	4-8
