 INPUT STRING:	ك
     IS_TRANS:	k
        INDEX:	P1W1
      OFFSETS:	0-1
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(k)
          POS:	TYPO
          VOC:	k
        GLOSS:	nogloss

 INPUT STRING:	بأقول
     IS_TRANS:	b>qwl
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P2W2
      OFFSETS:	6-8
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/tor+you [fem.sg.]

 INPUT STRING:	قولى
     IS_TRANS:	qwlY
        INDEX:	P2W3
      OFFSETS:	9-13
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	quwl+iy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	للي
     IS_TRANS:	lly
        INDEX:	P2W4
      OFFSETS:	14-17
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liy_1]
   UNSPLITVOC:	(liliy)
          POS:	PREP+NOUN_PROP
          VOC:	li+liy
        GLOSS:	for/to+Lee

 INPUT STRING:	تعملي
     IS_TRANS:	tEmly
        INDEX:	P2W5
      OFFSETS:	18-23
       TOKENS:	P2W8-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(tiEomil~iy)
          POS:	IV3FS+IV+PREP+PRON_1S
          VOC:	ti+Eomil+li+iy
        GLOSS:	it/she/they+function/make/act/do+to/for+me

 INPUT STRING:	أكسبت
     IS_TRANS:	>ksbt
        INDEX:	P2W6
      OFFSETS:	24-29
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>ksbt)
          POS:	FOREIGN
          VOC:	>ksbt
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W7
      OFFSETS:	30-33
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ببم
     IS_TRANS:	bbm
        INDEX:	P2W8
      OFFSETS:	34-37
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bbm)
          POS:	FOREIGN
          VOC:	bbm
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W9
      OFFSETS:	37-38
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W10
      OFFSETS:	39-41
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P2W11
      OFFSETS:	42-46
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P2W12
      OFFSETS:	47-50
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lyih_1]
   UNSPLITVOC:	(lyih)
          POS:	REL_ADV
          VOC:	lyih
        GLOSS:	why

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W13
      OFFSETS:	51-53
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P2W14
      OFFSETS:	54-58
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	فالكونتاكت
     IS_TRANS:	fAlkwntAkt
        INDEX:	P2W15
      OFFSETS:	59-69
       TOKENS:	P2W21-P2W21
