 INPUT STRING:	الووو
     IS_TRANS:	Alwww
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aluw_1]
   UNSPLITVOC:	(Aluw)
          POS:	INTERJ
          VOC:	Aluw
        GLOSS:	hello

 INPUT STRING:	الو
     IS_TRANS:	Alw
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aluw_1]
   UNSPLITVOC:	(>aluw)
          POS:	INTERJ
          VOC:	>aluw
        GLOSS:	hello

 INPUT STRING:	انيرة
     IS_TRANS:	Anyrp
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Anyrp)
          POS:	TYPO
          VOC:	Anyrp
        GLOSS:	nogloss

 INPUT STRING:	هاصلي
     IS_TRANS:	hASly
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(HaAaSal~iy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+Sal~iy
        GLOSS:	will+I+pray/worship/be worshiped/be prayed

 INPUT STRING:	واجي
     IS_TRANS:	wAjy
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jih_1]
