 INPUT STRING:	سلام
     IS_TRANS:	slAm
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAm)
          POS:	NOUN
          VOC:	salAm
        GLOSS:	peace/greeting/salute/salutation/greetings/salutations/anthem/song

 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P1W2
      OFFSETS:	5-9
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~ik)
          POS:	INTERROG_ADV+PRON_2FS
          VOC:	Aiz~ay~+ik
        GLOSS:	how+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W3
      OFFSETS:	10-12
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	قمر
     IS_TRANS:	qmr
        INDEX:	P1W4
      OFFSETS:	13-16
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qamar_1]
   UNSPLITVOC:	(qamar)
          POS:	NOUN
          VOC:	qamar
        GLOSS:	moon/satellite/satellites

 INPUT STRING:	كيف
     IS_TRANS:	kyf
        INDEX:	P1W5
      OFFSETS:	17-20
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kiyf_1]
   UNSPLITVOC:	(kiyf)
          POS:	INTERROG_ADV
          VOC:	kiyf
        GLOSS:	how/what degree

 INPUT STRING:	ماريا
     IS_TRANS:	mAryA
        INDEX:	P1W6
      OFFSETS:	21-26
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAriyA_1]
   UNSPLITVOC:	(mAriyA)
          POS:	NOUN_PROP
          VOC:	mAriyA
        GLOSS:	Maria

 INPUT STRING:	معك
     IS_TRANS:	mEk
        INDEX:	P1W7
      OFFSETS:	27-30
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W8
      OFFSETS:	31-34
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	امو
     IS_TRANS:	Amw
        INDEX:	P1W9
      OFFSETS:	35-38
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Amw)
          POS:	TYPO
          VOC:	Amw
        GLOSS:	nogloss

 INPUT STRING:	ي
     IS_TRANS:	y
        INDEX:	P1W10
      OFFSETS:	39-40
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(y)
          POS:	TYPO
          VOC:	y
        GLOSS:	nogloss

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P1W11
      OFFSETS:	41-45
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	والحمد
     IS_TRANS:	wAlHmd
        INDEX:	P1W12
      OFFSETS:	46-52
       TOKENS:	P1W14-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(wiAlHamod)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Hamod
        GLOSS:	and+the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P1W13
      OFFSETS:	53-56
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P2W2
      OFFSETS:	6-9
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	بخير
     IS_TRANS:	bxyr
        INDEX:	P2W3
      OFFSETS:	10-14
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(bixiyr)
          POS:	PREP+NOUN
          VOC:	bi+xiyr
        GLOSS:	with/by+good

 INPUT STRING:	خدتها
     IS_TRANS:	xdthA
        INDEX:	P2W4
      OFFSETS:	15-20
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xad_1]
   UNSPLITVOC:	(xadtahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	xad+t+hA
        GLOSS:	take+I+it/them/her

 INPUT STRING:	ورحت
     IS_TRANS:	wrHt
        INDEX:	P2W5
      OFFSETS:	21-25
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(wiruHt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+ruH+t
        GLOSS:	and+begin/go+I

 INPUT STRING:	امتحنت
     IS_TRANS:	AmtHnt
        INDEX:	P2W6
      OFFSETS:	26-32
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimotaHan_1]
   UNSPLITVOC:	(AimotaHant)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	AimotaHan+t
        GLOSS:	examine/take an examination+I

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P2W7
      OFFSETS:	33-35
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	سقطت
     IS_TRANS:	sqTt
        INDEX:	P2W8
      OFFSETS:	36-40
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siqiT_1]
   UNSPLITVOC:	(siqiTt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	siqiT+t
        GLOSS:	fall/drop/be put ina corner/get introuble/be affected/involved/be trapped/refuse+I

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P2W9
      OFFSETS:	41-46
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P2W10
      OFFSETS:	47-50
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P2W11
      OFFSETS:	51-55
