 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	أكلمك
     IS_TRANS:	>klmk
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(Aakal~imik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+kal~im+ik
        GLOSS:	I+talk/speak/talk to+you

 INPUT STRING:	ضروري
     IS_TRANS:	Drwry
        INDEX:	P1W3
      OFFSETS:	12-17
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daruwriy_1]
   UNSPLITVOC:	(Daruwriy)
          POS:	ADJ
          VOC:	Daruwriy
        GLOSS:	requisite/necessary

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W4
      OFFSETS:	17-18
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	حأكلمك
     IS_TRANS:	H>klmk
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(HaAakal~imik)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	Ha+Aa+kal~im+ik
        GLOSS:	will+I+talk/speak/talk to+you

 INPUT STRING:	أول
     IS_TRANS:	>wl
        INDEX:	P2W2
      OFFSETS:	7-10
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_1]
   UNSPLITVOC:	(>aw~il)
          POS:	ADJ
          VOC:	>aw~il
        GLOSS:	first/first-place/best/top/early/beginning/ancients/first of all

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W3
      OFFSETS:	11-13
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	أروح
     IS_TRANS:	>rwH
        INDEX:	P2W4
      OFFSETS:	14-18
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(AaruwH)
          POS:	IV1S+IV
          VOC:	Aa+ruwH
        GLOSS:	I+begin/go

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P3W2
      OFFSETS:	3-8
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+my

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P3W3
      OFFSETS:	9-12
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P3W4
      OFFSETS:	13-15
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naw~_1]
   UNSPLITVOC:	(naw~)
          POS:	NOUN
          VOC:	naw~
        GLOSS:	wind/odor/winds/odors/flatulence/side/end/light wind

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	NOUN
          VOC:	mA$iy
        GLOSS:	infantry/pedestrians

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P4W2
      OFFSETS:	5-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	NOUN
          VOC:	mA$iy
        GLOSS:	infantry/pedestrians

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
