 INPUT STRING:	حقنا
     IS_TRANS:	HqnA
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Haq~+nA
        GLOSS:	truth/right/against/towards/rights/law+our

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P1W2
      OFFSETS:	5-9
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyik)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P1W3
      OFFSETS:	10-13
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anota_1]
   UNSPLITVOC:	(>anota)
          POS:	PRON_2MS
          VOC:	>anota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	تدينا
     IS_TRANS:	tdynA
        INDEX:	P1W4
      OFFSETS:	14-19
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(tid~iynA)
          POS:	IV2MS+IV+IVSUFF_DO:1P
          VOC:	ti+d~iy+nA
        GLOSS:	you+give/provide/hand over/be given/be provided/carry out/perform/lead+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W5
      OFFSETS:	20-22
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	وقتك
     IS_TRANS:	wqtk
        INDEX:	P1W6
      OFFSETS:	23-27
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqotak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	waqot+ak
        GLOSS:	time/moment/period of time/moments/times+your

 INPUT STRING:	وتقعد
     IS_TRANS:	wtqEd
        INDEX:	P1W7
      OFFSETS:	28-33
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(witiqoEud)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ti+qoEud
        GLOSS:	and+you+sit down/be seated/remain

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P1W8
      OFFSETS:	34-39
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	with+our

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W9
      OFFSETS:	39-40
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W10
      OFFSETS:	40-41
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W11
      OFFSETS:	41-44
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1W12
      OFFSETS:	45-47
       TOKENS:	P1W18-P1W18
