 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~ak)
          POS:	INTERROG_ADV+PRON_2MS
          VOC:	Aiz~ay~+ak
        GLOSS:	how+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبي
     IS_TRANS:	Hbyby
        INDEX:	P1W3
      OFFSETS:	8-13
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiybiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Habiyb+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	وحشتيني
     IS_TRANS:	wH$tyny
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHa$_1]
   UNSPLITVOC:	(waHa$tiyniy)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:1S
          VOC:	waHa$+tiy+niy
        GLOSS:	miss+you+me

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P2W2
      OFFSETS:	8-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	سافرتي
     IS_TRANS:	sAfrty
        INDEX:	P3W1
      OFFSETS:	0-6
