 INPUT STRING:	كلموني
     IS_TRANS:	klmwny
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imuwniy)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1S
          VOC:	kal~im+uw+niy
        GLOSS:	talk/speak/talk to+you+me

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P1W2
      OFFSETS:	7-9
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	عندكو
     IS_TRANS:	Endkw
        INDEX:	P1W3
      OFFSETS:	10-15
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodukuw)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Eanod+kuw
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P1W4
      OFFSETS:	16-20
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تتبرعوا
     IS_TRANS:	ttbrEwA
        INDEX:	P1W5
      OFFSETS:	21-28
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitbar~aE_1]
   UNSPLITVOC:	(titbar~aEuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+tbar~aE+uwA
        GLOSS:	you+donate+[pl.]

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P1W6
      OFFSETS:	29-32
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P1W7
      OFFSETS:	33-35
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	تشاركوا
     IS_TRANS:	t$ArkwA
        INDEX:	P1W8
      OFFSETS:	36-43
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Arik_1]
   UNSPLITVOC:	(ti$ArikuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+$Arik+uwA
        GLOSS:	you [masc.pl.]+participate with/share with+[pl.]

 INPUT STRING:	بفلوس
     IS_TRANS:	bflws
        INDEX:	P1W9
      OFFSETS:	44-49
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(bifiluws)
          POS:	PREP+NOUN
          VOC:	bi+filuws
        GLOSS:	with/by+fils (small coin)/fils (small coins)/money

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P2W2
      OFFSETS:	5-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P2W3
      OFFSETS:	9-14
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	أوكيه
     IS_TRANS:	>wkyh
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aawok~ayoh_1]
   UNSPLITVOC:	(Aawok~ayoh)
          POS:	INTERJ
          VOC:	Aawok~ayoh
        GLOSS:	ok

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W2
      OFFSETS:	6-8
       TOKENS:	P3W2-P3W2
