 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$~_1]
   UNSPLITVOC:	(maEoli$~)
          POS:	INTERJ
          VOC:	maEoli$~
        GLOSS:	sorry/never mind

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P1W2
      OFFSETS:	5-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	obtain/acquire/get/be obtained/be acquired/occur/happen/take place+he/it

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P1W3
      OFFSETS:	9-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(xiyr)
          POS:	NOUN
          VOC:	xiyr
        GLOSS:	good

 INPUT STRING:	حأجيب
     IS_TRANS:	H>jyb
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(HaAajiyb)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+jiyb
        GLOSS:	will+I+explore/traverse/bring

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P2W2
      OFFSETS:	6-8
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/for+you

 INPUT STRING:	اللينك
     IS_TRANS:	Allynk
        INDEX:	P2W3
      OFFSETS:	9-15
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Allynk)
          POS:	FOREIGN
          VOC:	Allynk
        GLOSS:	nogloss

 INPUT STRING:	تشوفيه
     IS_TRANS:	t$wfyh
        INDEX:	P2W4
      OFFSETS:	16-22
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ti$uwfiyh)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS
          VOC:	ti+$uwf+iy+uh
        GLOSS:	you+look+you+it/him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اليوتيوب
     IS_TRANS:	Alywtywb
        INDEX:	P3W2
      OFFSETS:	3-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alywtywb)
          POS:	FOREIGN
          VOC:	Alywtywb
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W3
      OFFSETS:	11-12
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يكرمك
     IS_TRANS:	ykrmk
        INDEX:	P4W2
      OFFSETS:	5-10
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karam_1]
   UNSPLITVOC:	(yikorimik)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+korim+ik
        GLOSS:	he/it+venerate/be venerated+you

