 INPUT STRING:	اديني
     IS_TRANS:	Adyny
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|adiy_1]
   UNSPLITVOC:	(>adiyniy)
          POS:	DEM_PRON+PRON_1S
          VOC:	>adiy+niy
        GLOSS:	this+I/me

 INPUT STRING:	نزلتو
     IS_TRANS:	nzltw
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(niziltuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	nizil+tuwA
        GLOSS:	descend/come/desend/stay+you

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P1W3
      OFFSETS:	12-15
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix+he/it

 INPUT STRING:	اخيرا
     IS_TRANS:	AxyrA
        INDEX:	P1W4
      OFFSETS:	16-21
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axiyr_1]
   UNSPLITVOC:	(>axiyrAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	>axiyr+AF
        GLOSS:	last/latest/recent/latter/finally/recently/lately+[acc.indef.]

 INPUT STRING:	"
     IS_TRANS:	"
        INDEX:	P1W5
      OFFSETS:	21-22
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(")
          POS:	PUNC
          VOC:	"
        GLOSS:	"

 INPUT STRING:	اخيرا
     IS_TRANS:	AxyrA
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
