 INPUT STRING:	وحستيني
     IS_TRANS:	wHstyny
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wHstyny)
          POS:	TYPO
          VOC:	wHstyny
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P1W2
      OFFSETS:	8-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	emphasis

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P2W2
      OFFSETS:	3-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainoti)
          POS:	PRON_2FS
          VOC:	Ainoti
        GLOSS:	you

 INPUT STRING:	سايباني
     IS_TRANS:	sAybAny
        INDEX:	P2W3
      OFFSETS:	7-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(sAybAny)
          POS:	NO_FUNC
          VOC:	sAybAny
        GLOSS:	nogloss

 INPUT STRING:	ل
     IS_TRANS:	l
        INDEX:	P2W4
      OFFSETS:	15-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(l)
          POS:	NO_FUNC
          VOC:	l
        GLOSS:	nogloss

 INPUT STRING:	كلب
     IS_TRANS:	klb
        INDEX:	P2W5
      OFFSETS:	17-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalob_1]
   UNSPLITVOC:	(kalob)
          POS:	NOUN
          VOC:	kalob
        GLOSS:	dog/dogs

 INPUT STRING:	السكك
     IS_TRANS:	Alskk
        INDEX:	P2W6
      OFFSETS:	21-26
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sik~ap_1]
   UNSPLITVOC:	(Alsikak)
          POS:	DET+NOUN
          VOC:	Al+sikak
        GLOSS:	the+road/roads

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W7
      OFFSETS:	27-28
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	إيكمنك
     IS_TRANS:	<ykmnk
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ikomin~_1]
   UNSPLITVOC:	(<ikomin~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<ikomin~+ik
        GLOSS:	because/sice+you[fem.sg.]

 INPUT STRING:	بقيتي
     IS_TRANS:	bqyty
        INDEX:	P3W2
      OFFSETS:	7-12
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqiytiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	baq+iytiy
        GLOSS:	become/begin/start/be/begin a new day+you

 INPUT STRING:	دكتورة
     IS_TRANS:	dktwrp
        INDEX:	P3W3
