 INPUT STRING:	ميناس
     IS_TRANS:	mynAs
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miynAs_1]
   UNSPLITVOC:	(miynAs)
          POS:	NOUN_PROP
          VOC:	miynAs
        GLOSS:	Minas

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	أحرجت
     IS_TRANS:	>Hrjt
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHoraj_1]
   UNSPLITVOC:	(>uHorajt)
          POS:	PV_PASS+PVSUFF_SUBJ:1S
          VOC:	>uHoraj+t
        GLOSS:	be embarrassed/be confined/be complicated+I [verb]

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P2W3
      OFFSETS:	10-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	هاهاهاها
     IS_TRANS:	hAhAhAhA
        INDEX:	P3W1
      OFFSETS:	0-8
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hAhAhAhA)
          POS:	INTERJ
          VOC:	hAhAhAhA
        GLOSS:	laughing

 INPUT STRING:	موبايلي
     IS_TRANS:	mwbAyly
        INDEX:	P3W2
      OFFSETS:	9-16
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muwbAyil_1]
   UNSPLITVOC:	(muwbAyoliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	muwbAyol+iy
        GLOSS:	cell phone+my

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W3
      OFFSETS:	17-20
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	جوه
     IS_TRANS:	jwh
        INDEX:	P3W4
      OFFSETS:	21-24
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ah_1]
   UNSPLITVOC:	(juw~ah)
          POS:	NOUN
          VOC:	juw~ah
        GLOSS:	in/at/over/about/by/ratio/within

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	ولية
     IS_TRANS:	wlyp
        INDEX:	P4W2
      OFFSETS:	3-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiliy~ap_1]
   UNSPLITVOC:	(wiliy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wiliy~+ap
        GLOSS:	wife/taboo/prohibition/taboos/prohibitions/woman/tabo/tabos+[fem.sg.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P4W3
      OFFSETS:	8-13
       TOKENS:	P4W3-P4W4
