 INPUT STRING:	حأبقى
     IS_TRANS:	H>bqY
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(HaAaboqaY)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+boqaY
        GLOSS:	will+I+become/begin/start/be/begin a new day

 INPUT STRING:	أكلمك
     IS_TRANS:	>klmk
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(Aakal~imik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+kal~im+ik
        GLOSS:	I+talk/speak/talk to+you

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P1W3
      OFFSETS:	12-16
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	vAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P1W4
      OFFSETS:	17-21
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	sorry/never mind

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	كلميني
     IS_TRANS:	klmyny
        INDEX:	P2W2
      OFFSETS:	4-10
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imiyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	kal~im+iy+niy
        GLOSS:	talk/speak/talk to+you+me

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P2W3
      OFFSETS:	11-14
