 INPUT STRING:	وعشأن
     IS_TRANS:	wE$>n
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(wiEa$a>on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+Ea+$a>on
        GLOSS:	and+on/above+matter/affair/case/importance/status/situation/condition/affairs

 INPUT STRING:	باحبك
     IS_TRANS:	bAHbk
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W4-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~ik)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	bi+Aa+Hib~+ik
        GLOSS:	[present-tense]+I+love/like/want+you

 INPUT STRING:	ارجوكي
     IS_TRANS:	Arjwky
        INDEX:	P1W3
      OFFSETS:	12-18
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(Aarojuwkiy)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+rojuw+ik
        GLOSS:	I+request/hope for/plead to/be requested/be hoped for/be pleaded to+you

 INPUT STRING:	اسمع
     IS_TRANS:	AsmE
        INDEX:	P1W4
      OFFSETS:	19-23
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(AasomaE)
          POS:	IV1S+IV
          VOC:	Aa+somaE
        GLOSS:	I+listen/hear

 INPUT STRING:	صوتك
     IS_TRANS:	Swtk
        INDEX:	P1W5
      OFFSETS:	24-28
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(Suwtik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Suwt+ik
        GLOSS:	vote/votes/voice/sound/voices/sounds+your

 INPUT STRING:	لآخر
     IS_TRANS:	l|xr
        INDEX:	P1W6
      OFFSETS:	29-33
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axir_1]
   UNSPLITVOC:	(li|axir)
          POS:	PREP+NOUN
          VOC:	li+|axir
        GLOSS:	for/to+end/later part

 INPUT STRING:	مرة
