 INPUT STRING:	بابة
     IS_TRANS:	bAbp
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bAbp)
          POS:	FOREIGN
          VOC:	bAbp
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بيبة
     IS_TRANS:	bybp
        INDEX:	P1W3
      OFFSETS:	8-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bybp)
          POS:	FOREIGN
          VOC:	bybp
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P1W4
      OFFSETS:	13-15
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P1W5
      OFFSETS:	16-19
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P1W6
      OFFSETS:	20-25
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	طيبة
     IS_TRANS:	Tybp
        INDEX:	P1W7
      OFFSETS:	26-30
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ibap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Tay~ib+ap
        GLOSS:	good/pleasant+[fem.sg.]

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P1W8
      OFFSETS:	31-37
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	ويا
     IS_TRANS:	wyA
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(wayA)
          POS:	CONJ+VOC_PART
          VOC:	wa+yA
        GLOSS:	and+O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P2W2
      OFFSETS:	4-6
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	السنة
     IS_TRANS:	Alsnp
        INDEX:	P2W3
      OFFSETS:	7-12
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Alsanap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+san+ap
        GLOSS:	the+year/years+[fem.sg.]

 INPUT STRING:	الجاية
     IS_TRANS:	AljAyp
        INDEX:	P2W4
      OFFSETS:	13-19
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(AljAy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jAy~+ap
        GLOSS:	the+coming+[fem.sg.]

 INPUT STRING:	طنط
     IS_TRANS:	TnT
        INDEX:	P2W5
      OFFSETS:	20-23
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TanoT_1]
   UNSPLITVOC:	(TanoT)
          POS:	NOUN
          VOC:	TanoT
        GLOSS:	paternal aunt/auntie/aunt

 INPUT STRING:	وأونكل
     IS_TRANS:	w>wnkl
        INDEX:	P2W6
      OFFSETS:	24-30
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uwnkil_1]
   UNSPLITVOC:	(wi>uwnkil)
          POS:	CONJ+NOUN
          VOC:	wi+>uwnkil
        GLOSS:	and+uncle

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P2W7
      OFFSETS:	31-35
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	فرحانين
     IS_TRANS:	frHAnyn
        INDEX:	P2W8
      OFFSETS:	36-43
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHAn_1]
   UNSPLITVOC:	(faroHAniyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	faroHAn+iyn
        GLOSS:	cheerful/delighted+[pl.]

 INPUT STRING:	فيكي
     IS_TRANS:	fyky
        INDEX:	P2W9
      OFFSETS:	44-48
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
