 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P1W2
      OFFSETS:	6-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	سهل
     IS_TRANS:	shl
        INDEX:	P1W3
      OFFSETS:	9-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(sahol)
          POS:	NOUN
          VOC:	sahol
        GLOSS:	easy/simple

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P1W4
      OFFSETS:	13-16
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<il~A_2]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	except

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W5
      OFFSETS:	17-19
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	جعلته
     IS_TRANS:	jElth
        INDEX:	P1W6
      OFFSETS:	20-25
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaEal-a_1]
   UNSPLITVOC:	(jaEalotahu)
          POS:	PV+PVSUFF_SUBJ:2MS+PVSUFF_DO:3MS
          VOC:	jaEal+ta+hu
        GLOSS:	make/bring about/appoint+you [masc.sg.] [verb]+it/him

 INPUT STRING:	سهلا
     IS_TRANS:	shlA
        INDEX:	P1W7
      OFFSETS:	26-30
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(saholAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	sahol+AF
        GLOSS:	easy/simple+[acc.indef.]

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P1W8
      OFFSETS:	31-34
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~aka)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	>an~a+ka
        GLOSS:	that+you [masc.sg.]

 INPUT STRING:	تجعل
     IS_TRANS:	tjEl
        INDEX:	P1W9
      OFFSETS:	35-39
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaEal-a_1]
   UNSPLITVOC:	(tajoEalo)
          POS:	IV2MS+IV+IVSUFF_MOOD:J
          VOC:	ta+joEal+o
        GLOSS:	you [masc.sg.]+make/bring about/appoint+[jus.]

 INPUT STRING:	الحزن
     IS_TRANS:	AlHzn
        INDEX:	P1W10
      OFFSETS:	40-45
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hazon_1]
   UNSPLITVOC:	(AlHazon)
          POS:	DET+NOUN
          VOC:	Al+Hazon
        GLOSS:	the+rough

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P1W11
      OFFSETS:	46-48
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شئت
     IS_TRANS:	$}t
        INDEX:	P1W12
      OFFSETS:	49-52
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'-a_1]
   UNSPLITVOC:	($i}ota)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	$i}+ta
        GLOSS:	want/desire/wish+you [masc.sg.] [verb]

 INPUT STRING:	سهلا
     IS_TRANS:	shlA
        INDEX:	P1W13
      OFFSETS:	53-57
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(saholAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	sahol+AF
        GLOSS:	easy/simple+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W14
      OFFSETS:	57-58
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P1W15
      OFFSETS:	58-62
       TOKENS:	P1W17-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	ييسر
     IS_TRANS:	yysr
        INDEX:	P1W16
      OFFSETS:	63-67
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yas~ar_1]
   UNSPLITVOC:	(yiyas~ir)
          POS:	IV3MS+IV
          VOC:	yi+yas~ir
        GLOSS:	he/it+facilitate/make easy

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P1W17
      OFFSETS:	68-70
       TOKENS:	P1W20-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P1W18
      OFFSETS:	71-77
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	ييسر
     IS_TRANS:	yysr
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yas~ar_1]
   UNSPLITVOC:	(yiyas~ir)
          POS:	IV3MS+IV
          VOC:	yi+yas~ir
        GLOSS:	he/it+facilitate/make easy

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P2W3
      OFFSETS:	10-13
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for+us

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P2W4
      OFFSETS:	14-18
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all/entire/every/whole+us

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P2W5
      OFFSETS:	19-23
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	ويهون
     IS_TRANS:	wyhwn
        INDEX:	P2W6
      OFFSETS:	24-29
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haw~in_1]
   UNSPLITVOC:	(wiyihaw~in)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+haw~in
        GLOSS:	and+he/it+be insignificant/be contemptible

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P2W7
      OFFSETS:	30-34
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealay~a)
          POS:	PREP+PRON_1S
          VOC:	EalaY+ya
        GLOSS:	on+me

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P2W8
      OFFSETS:	35-37
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P2W9
      OFFSETS:	38-41
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W10
      OFFSETS:	42-46
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

