 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P1W2
      OFFSETS:	5-10
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W3
      OFFSETS:	11-13
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	لولا
     IS_TRANS:	lwlA
        INDEX:	P1W4
      OFFSETS:	14-18
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luwlA_1]
   UNSPLITVOC:	(luwlA)
          POS:	NOUN_PROP
          VOC:	luwlA
        GLOSS:	Lula

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P1W5
      OFFSETS:	19-20
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	طمنيني
     IS_TRANS:	Tmnyny
        INDEX:	P1W6
      OFFSETS:	21-27
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tam~in_1]
   UNSPLITVOC:	(Tam~iniyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	Tam~in+iy+niy
        GLOSS:	assuage/calm down/pacify/reassure+you+me

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P1W7
      OFFSETS:	28-33
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaYik)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	فلس
     IS_TRANS:	fls
        INDEX:	P1W8
      OFFSETS:	34-37
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fls)
          POS:	FOREIGN
          VOC:	fls
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P2W2
      OFFSETS:	3-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P2W3
      OFFSETS:	7-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W4
      OFFSETS:	12-13
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بأموت
     IS_TRANS:	b>mwt
        INDEX:	P2W5
      OFFSETS:	14-19
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(biAamuwt)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+muwt
        GLOSS:	[present-tense]+I+die/pass away

 INPUT STRING:	فيك
     IS_TRANS:	fyk
        INDEX:	P2W6
      OFFSETS:	20-23
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyak)
          POS:	PREP+PRON_2MS
          VOC:	fiy+ak
        GLOSS:	in+you

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P2W7
      OFFSETS:	24-28
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(wiAinota)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	wi+Ainota
        GLOSS:	while+you [masc.sg.]/you/masculine

 INPUT STRING:	قلقان
     IS_TRANS:	qlqAn
        INDEX:	P2W8
      OFFSETS:	29-34
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaloqAn_1]
   UNSPLITVOC:	(qaloqAn)
          POS:	ADJ
          VOC:	qaloqAn
        GLOSS:	worried/concerned/disturbed

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P2W9
      OFFSETS:	35-38
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealiy~_1]
   UNSPLITVOC:	(Ealiy~)
          POS:	NOUN
          VOC:	Ealiy~
        GLOSS:	the top

 INPUT STRING:	جتك
     IS_TRANS:	jtk
        INDEX:	P2W10
      OFFSETS:	39-42
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jitak)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:2MS
          VOC:	j+it+ak
        GLOSS:	occur/came/come/reach/arrive+it/they/she+you

 INPUT STRING:	القرف
     IS_TRANS:	Alqrf
        INDEX:	P2W11
      OFFSETS:	43-48
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaraf_1]
   UNSPLITVOC:	(Alqaraf)
          POS:	DET+NOUN
          VOC:	Al+qaraf
        GLOSS:	the+loathing

 INPUT STRING:	حأحبك
     IS_TRANS:	H>Hbk
        INDEX:	P2W12
      OFFSETS:	49-54
       TOKENS:	P2W16-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(HaAaHib~ak)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2MS
          VOC:	Ha+Aa+Hib~+ak
        GLOSS:	will+I+love/like/want+you

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P2W13
      OFFSETS:	55-59
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	NOUN_QUANT
          VOC:	>akovar
        GLOSS:	more

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W14
      OFFSETS:	60-62
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P2W15
      OFFSETS:	63-66
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P2W16
      OFFSETS:	67-70
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W17
      OFFSETS:	71-72
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	قبيحة
     IS_TRANS:	qbyHp
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabiyH_1]
   UNSPLITVOC:	(qabiyHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qabiyH+ap
        GLOSS:	ugly/repulsive/insolent+[fem.sg.]

 INPUT STRING:	زيه
     IS_TRANS:	zyh
        INDEX:	P3W2
      OFFSETS:	6-9
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zay~+uh
        GLOSS:	like+his/its

 INPUT STRING:	جتك
     IS_TRANS:	jtk
        INDEX:	P3W3
      OFFSETS:	10-13
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jitak)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:2MS
          VOC:	j+it+ak
        GLOSS:	occur/came/come/reach/arrive+it/they/she+you

 INPUT STRING:	نيلة
     IS_TRANS:	nylp
        INDEX:	P3W4
      OFFSETS:	14-18
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niylap_1]
   UNSPLITVOC:	(niylap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	niyl+ap
        GLOSS:	indigo+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P3W5
      OFFSETS:	19-20
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

