 INPUT STRING:	نوايا
     IS_TRANS:	nwAyA
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niy~ap_1]
   UNSPLITVOC:	(nawAyA)
          POS:	NOUN
          VOC:	nawAyA
        GLOSS:	intentions/desires

 INPUT STRING:	الصيام
     IS_TRANS:	AlSyAm
        INDEX:	P1W2
      OFFSETS:	6-12
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiyAm_1]
   UNSPLITVOC:	(AlSiyAm)
          POS:	DET+NOUN
          VOC:	Al+SiyAm
        GLOSS:	the+fasting/abstinence

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P1W3
      OFFSETS:	13-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	-أن
     IS_TRANS:	->n
        INDEX:	P2W2
      OFFSETS:	1-4
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an_1]
   UNSPLITVOC:	(>an)
          POS:	SUB_CONJ
          VOC:	>an
        GLOSS:	That, to

 INPUT STRING:	تبلغ
     IS_TRANS:	tblg
        INDEX:	P2W3
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balag-u_1]
   UNSPLITVOC:	(taboluga)
          POS:	IV2MS+IV+IVSUFF_MOOD:S
          VOC:	ta+bolug+a
        GLOSS:	you [masc.sg.]+reach/attain+[sub.]

 INPUT STRING:	منزلة
     IS_TRANS:	mnzlp
        INDEX:	P2W4
      OFFSETS:	10-15
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manozilap_1]
   UNSPLITVOC:	(manozilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	manozil+ap
        GLOSS:	grade/rank/position+[fem.sg.]

 INPUT STRING:	التقوى
     IS_TRANS:	AltqwY
        INDEX:	P2W5
      OFFSETS:	16-22
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqowaY_1]
   UNSPLITVOC:	(AltaqowaY)
          POS:	DET+NOUN
          VOC:	Al+taqowaY
        GLOSS:	the+piety

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P2W6
      OFFSETS:	23-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	يأيها
     IS_TRANS:	y>yhA
        INDEX:	P2W7
      OFFSETS:	24-29
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(y>yhA)
          POS:	NO_FUNC
          VOC:	y>yhA
        GLOSS:	nogloss

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P2W8
      OFFSETS:	30-35
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	آمنوا
     IS_TRANS:	|mnwA
        INDEX:	P2W9
      OFFSETS:	36-41
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|man_1]
   UNSPLITVOC:	(|manuwA)
          POS:	PV+PVSUFF_SUBJ:3MP
          VOC:	|man+uwA
        GLOSS:	believe+they [verb]

 INPUT STRING:	كتب
     IS_TRANS:	ktb
        INDEX:	P2W10
      OFFSETS:	42-45
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab-u_1]
   UNSPLITVOC:	(kutiba)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	kutib+a
        GLOSS:	be written/be fated/be destined+he/it [verb]

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P2W11
      OFFSETS:	46-51
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2MP
          VOC:	EalaY+kum
        GLOSS:	on/above+you [masc.pl.]

 INPUT STRING:	الصيام
     IS_TRANS:	AlSyAm
        INDEX:	P2W12
      OFFSETS:	52-58
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiyAm_1]
   UNSPLITVOC:	(AlSiyAm)
          POS:	DET+NOUN
          VOC:	Al+SiyAm
        GLOSS:	the+fasting/abstinence

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P2W13
      OFFSETS:	59-62
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(kamA)
          POS:	PREP+SUB_CONJ
          VOC:	ka+mA
        GLOSS:	like/such as+that/if/unless/whether/as long as/as soon as

 INPUT STRING:	كتب
     IS_TRANS:	ktb
        INDEX:	P2W14
      OFFSETS:	63-66
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab-u_1]
   UNSPLITVOC:	(kutiba)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	kutib+a
        GLOSS:	be written/be fated/be destined+he/it [verb]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W15
      OFFSETS:	67-70
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P2W16
      OFFSETS:	71-76
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W17
      OFFSETS:	77-79
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قبلكم
     IS_TRANS:	qblkm
        INDEX:	P2W18
      OFFSETS:	80-85
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabolikum)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_2MP
          VOC:	qabol+i+kum
        GLOSS:	before+[def.gen.]+your [masc.pl.]

 INPUT STRING:	لعلكم
     IS_TRANS:	lElkm
        INDEX:	P2W19
      OFFSETS:	86-91
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laEal~a_1]
   UNSPLITVOC:	(laEal~akum)
          POS:	PSEUDO_VERB+PRON_2MP
          VOC:	laEal~a+kum
        GLOSS:	perhaps, maybe+you [masc.pl.]

 INPUT STRING:	تتقون
     IS_TRANS:	ttqwn
        INDEX:	P2W20
      OFFSETS:	92-97
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{it~aqaY_1]
   UNSPLITVOC:	(tat~aquwna)
          POS:	IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	ta+t~aq+uwna
        GLOSS:	you [masc.pl.]+beware/be on guard+[masc.pl.]

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P2W21
      OFFSETS:	97-98
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P3W1
      OFFSETS:	0-1
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P3W2
      OFFSETS:	1-2
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W3
      OFFSETS:	3-5
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يُغفر
     IS_TRANS:	yugfr
        INDEX:	P3W4
      OFFSETS:	6-11
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gafar_1]
   UNSPLITVOC:	(yugfar)
          POS:	IV3MS+IV_PASS
          VOC:	yu+gfar
        GLOSS:	he+be forgiven

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P3W5
      OFFSETS:	12-14
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W6
      OFFSETS:	15-17
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	تقدم
     IS_TRANS:	tqdm
        INDEX:	P3W7
      OFFSETS:	18-22
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taqad~am_1]
   UNSPLITVOC:	(taqad~ama)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	taqad~am+a
        GLOSS:	present/advance+he/it [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W8
      OFFSETS:	23-25
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ذنبك
     IS_TRANS:	*nbk
        INDEX:	P3W9
      OFFSETS:	26-30
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*anab_1]
   UNSPLITVOC:	(*anabika)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_2MS
          VOC:	*anab+i+ka
        GLOSS:	tail/appendage/follower+[def.gen.]+your [masc.sg.]

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P3W10
      OFFSETS:	31-34
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wamA)
          POS:	CONJ+REL_PRON
          VOC:	wa+mA
        GLOSS:	and+what/which

 INPUT STRING:	تأخر
     IS_TRANS:	t>xr
        INDEX:	P3W11
      OFFSETS:	35-39
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta>ax~ar_1]
   UNSPLITVOC:	(ta>ax~ara)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	ta>ax~ar+a
        GLOSS:	be delayed/be postponed+he/it [verb]

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P3W12
      OFFSETS:	40-41
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W13
      OFFSETS:	41-43
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	صام
     IS_TRANS:	SAm
        INDEX:	P3W14
      OFFSETS:	44-47
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SAm-u_1]
   UNSPLITVOC:	(SAma)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	SAm+a
        GLOSS:	abstain/fast+he/it [verb]

 INPUT STRING:	رمضان
     IS_TRANS:	rmDAn
        INDEX:	P3W15
      OFFSETS:	48-53
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaDAn_1]
   UNSPLITVOC:	(ramaDAn)
          POS:	NOUN_PROP
          VOC:	ramaDAn
        GLOSS:	Ramadan

 INPUT STRING:	إيمانا
     IS_TRANS:	<ymAnA
        INDEX:	P3W16
      OFFSETS:	54-60
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iymAn_1]
   UNSPLITVOC:	(<iymAnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	<iymAn+AF
        GLOSS:	believing (that)/in the belief (that)+[acc.indef.]

 INPUT STRING:	واحتسابا
     IS_TRANS:	wAHtsAbA
        INDEX:	P3W17
      OFFSETS:	61-69
       TOKENS:	P3W20-P3W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iHotisAb_1]
   UNSPLITVOC:	(waAiHotisAbAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wa+{iHotisAb+AF
        GLOSS:	and+calculation/examination+[acc.indef.]

 INPUT STRING:	غفر
     IS_TRANS:	gfr
        INDEX:	P3W18
      OFFSETS:	70-73
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gafar_1]
   UNSPLITVOC:	(gufir)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	gufir+(null)
        GLOSS:	be forgiven+he/it

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P3W19
      OFFSETS:	74-76
       TOKENS:	P3W23-P3W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(lahu)
          POS:	PREP+PRON_3MS
          VOC:	la+hu
        GLOSS:	to/for+it/him (it/he has)

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W20
      OFFSETS:	77-79
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	تقدم
     IS_TRANS:	tqdm
        INDEX:	P3W21
      OFFSETS:	80-84
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taqad~am_1]
   UNSPLITVOC:	(taqad~ama)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	taqad~am+a
        GLOSS:	present/advance+he/it [verb]

 INPUT STRING:	من
