 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ولعت
     IS_TRANS:	wlEt
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wiliE_1]
   UNSPLITVOC:	(wiliEt)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	wiliE+t
        GLOSS:	ignite+it/they/she

 INPUT STRING:	بعديكي
     IS_TRANS:	bEdyky
        INDEX:	P1W3
      OFFSETS:	9-15
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodiykiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	baEodiy+ik
        GLOSS:	after/if/unless/whether/as long as/as soon as/which+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W4
      OFFSETS:	16-18
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	غالية
     IS_TRANS:	gAlyp
        INDEX:	P1W5
      OFFSETS:	19-24
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAliy_1]
   UNSPLITVOC:	(gAloyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gAloy+ap
        GLOSS:	expensive/costly/dear/precious/beloved/dearly+[fem.sg.]

 INPUT STRING:	
     IS_TRANS:	&#xe405;
        INDEX:	P1W6
      OFFSETS:	24-25
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe405;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	حزينة
     IS_TRANS:	Hzynp
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haziyn_1]
   UNSPLITVOC:	(Haziynap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Haziyn+ap
        GLOSS:	sad/mourning+[fem.sg.]

 INPUT STRING:	حاسة
     IS_TRANS:	HAsp
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	HAs~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	باليتم
     IS_TRANS:	bAlytm
        INDEX:	P3W2
      OFFSETS:	5-11
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yutom_1]
   UNSPLITVOC:	(biAlyatam)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+yatam
        GLOSS:	with/by+the+orphaning/being orphaned

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W2
      OFFSETS:	5-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	لناش
     IS_TRANS:	lnA$
        INDEX:	P4W3
      OFFSETS:	8-12
       TOKENS:	P4W3-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA$)
          POS:	PREP+PRON_1P+NEG_PART
          VOC:	li+nA+$
        GLOSS:	for/to+us+not

 INPUT STRING:	حظ
     IS_TRANS:	HZ
        INDEX:	P4W4
      OFFSETS:	13-15
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaZ~_1]
   UNSPLITVOC:	(HaZ~)
          POS:	NOUN
          VOC:	HaZ~
        GLOSS:	luck/fortune/prospects/chances of success

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W5
      OFFSETS:	16-18
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بلدنا
     IS_TRANS:	bldnA
        INDEX:	P4W6
      OFFSETS:	19-24
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	balad+nA
        GLOSS:	country/countries+our

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P4W7
      OFFSETS:	25-28
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	REL_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	lyh
     IS_TRANS:	lyh
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	REL_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P6W2
      OFFSETS:	4-6
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنتي
     IS_TRANS:	bnty
        INDEX:	P6W3
      OFFSETS:	7-11
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	binot+iy
        GLOSS:	daughter/girl/daughters/girls+my

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P6W4
      OFFSETS:	12-14
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	klw
     IS_TRANS:	klw
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P7W2
      OFFSETS:	4-7
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(xiyr)
          POS:	NOUN
          VOC:	xiyr
        GLOSS:	good

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P7W3
      OFFSETS:	8-12
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يعد
     IS_TRANS:	yEd
        INDEX:	P7W4
      OFFSETS:	13-16
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yEd)
          POS:	TYPO
          VOC:	yEd
        GLOSS:	nogloss

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P7W5
      OFFSETS:	17-20
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lhA)
          POS:	TYPO
          VOC:	lhA
        GLOSS:	nogloss

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P7W6
      OFFSETS:	21-23
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عندو
     IS_TRANS:	Endw
        INDEX:	P7W7
      OFFSETS:	24-28
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eanod+uh
        GLOSS:	at/have/possession/with+his/its

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P7W8
      OFFSETS:	29-31
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	يدينا
     IS_TRANS:	ydynA
        INDEX:	P7W9
      OFFSETS:	32-37
