 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(maboruwk)
          POS:	ADJ
          VOC:	maboruwk
        GLOSS:	congratulations!/blessed

 INPUT STRING:	لإيثار
     IS_TRANS:	l<yvAr
        INDEX:	P1W2
      OFFSETS:	6-12
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyvAr_1]
   UNSPLITVOC:	(li<iyvAr)
          POS:	PREP+NOUN_PROP
          VOC:	li+<iyvAr
        GLOSS:	for/to+Ithar

 INPUT STRING:	شفت
     IS_TRANS:	$ft
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uft)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	$uf+t
        GLOSS:	look+you

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P2W2
      OFFSETS:	4-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>m)
          POS:	FOREIGN
          VOC:	>m
        GLOSS:	nogloss

 INPUT STRING:	سو
     IS_TRANS:	sw
        INDEX:	P2W3
      OFFSETS:	7-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sw)
          POS:	FOREIGN
          VOC:	sw
        GLOSS:	nogloss

 INPUT STRING:	حببي
     IS_TRANS:	Hbby
        INDEX:	P2W4
      OFFSETS:	10-14
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hbby)
          POS:	FOREIGN
          VOC:	Hbby
        GLOSS:	nogloss

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wAll~ah)
          POS:	PART+NOUN_PROP
          VOC:	wi+All~ah
        GLOSS:	so/and+Allah/God

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P3W3
      OFFSETS:	11-14
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	ADV+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very much+[acc.indef.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P4W2
      OFFSETS:	3-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P4W3
      OFFSETS:	7-11
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(wAinota)
          POS:	PART+PRON_2MS
          VOC:	wi+Ainota
        GLOSS:	so/and+you [masc.sg.]/you/masculine

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P4W4
      OFFSETS:	12-15
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W5
      OFFSETS:	16-18
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	لوزر
     IS_TRANS:	lwzr
        INDEX:	P4W6
      OFFSETS:	19-23
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lwzr)
          POS:	FOREIGN
          VOC:	lwzr
        GLOSS:	nogloss

 INPUT STRING:	ههاه
     IS_TRANS:	hhAh
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hh]
   UNSPLITVOC:	(hh)
          POS:	INTERJ
          VOC:	hh
        GLOSS:	laughing

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	طيبة
     IS_TRANS:	Tybp
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ibap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Tay~ib+ap
        GLOSS:	good/pleasant+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W4
      OFFSETS:	16-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	ونار
     IS_TRANS:	wnAr
        INDEX:	P5W5
      OFFSETS:	19-23
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wnAr)
          POS:	FOREIGN
          VOC:	wnAr
        GLOSS:	nogloss

 INPUT STRING:	ههه
     IS_TRANS:	hhh
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hh_1]
   UNSPLITVOC:	(hh)
          POS:	INTERJ
          VOC:	hh
        GLOSS:	laughing

