 INPUT STRING:	طارق
     IS_TRANS:	TArq
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAriq_1]
   UNSPLITVOC:	(TAriq)
          POS:	NOUN_PROP
          VOC:	TAriq
        GLOSS:	Tariq

 INPUT STRING:	حببي
     IS_TRANS:	Hbby
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hbby)
          POS:	FOREIGN
          VOC:	Hbby
        GLOSS:	nogloss

 INPUT STRING:	عنيفرساري
     IS_TRANS:	EnyfrsAry
        INDEX:	P2W2
      OFFSETS:	5-14
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(EnyfrsAry)
          POS:	FOREIGN
          VOC:	EnyfrsAry
        GLOSS:	nogloss

 INPUT STRING:	عقبال
     IS_TRANS:	EqbAl
        INDEX:	P2W3
      OFFSETS:	15-20
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EuqobAl_1]
   UNSPLITVOC:	(EuqobAl)
          POS:	NOUN
          VOC:	EuqobAl
        GLOSS:	Following/consequence

 INPUT STRING:	الفرح
     IS_TRANS:	AlfrH
        INDEX:	P2W4
      OFFSETS:	21-26
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroH_1]
   UNSPLITVOC:	(AlfaroH)
          POS:	DET+NOUN
          VOC:	Al+faroH
        GLOSS:	the+festivity

 INPUT STRING:	إن
