 INPUT STRING:	سارة
     IS_TRANS:	sArp
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sArap_1]
   UNSPLITVOC:	(sArap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	sAr+ap
        GLOSS:	Sarah+[fem.sg.]

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W2
      OFFSETS:	5-7
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	هبة
     IS_TRANS:	hbp
        INDEX:	P2W3
      OFFSETS:	8-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hibap_1]
   UNSPLITVOC:	(hibap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	hib+ap
        GLOSS:	Heba+[fem.sg.]

 INPUT STRING:	سألت
     IS_TRANS:	s>lt
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(sa>alt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	sa>al+t
        GLOSS:	ask/inquire/request/be asked+I

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
